id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
5697744,Fri Apr 14 2017 13:24:52 GMT-0700 (PDT),2017-04-14,2017-04-14 20:24:52 UTC,Pacific Time (US & Canada),438977,research,https://www.inaturalist.org/observations/5697744,https://static.inaturalist.org/photos/7057860/medium.jpg,,2,0,false,"Morgan Territory Regional Park, Brentwood, CA, US",37.832218697,-121.7879918586,5,,,Contra Costa,Dipterostemon capitatus,Dipterostemon capitatus,Blue Dicks,Plantae,1196784,Dipterostemon,Dipterostemon capitatus
5708533,Fri Apr 14 2017 14:48:17 GMT-0700 (PDT),2017-04-14,2017-04-14 21:48:17 UTC,Pacific Time (US & Canada),438977,research,https://www.inaturalist.org/observations/5708533,https://static.inaturalist.org/photos/7075952/medium.jpg,,2,0,false,"Morgan Territory Regional Park, Brentwood, CA, US",37.8307761044,-121.7992701729,971,,,Contra Costa,Wavy-leafed Soap Plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,Chlorogalum,Chlorogalum pomeridianum
6269596,Sat Apr 29 2017 11:12:19 GMT-0700 (PDT),2017-04-29,2017-04-29 18:12:19 UTC,Pacific Time (US & Canada),378993,research,https://www.inaturalist.org/observations/6269596,https://static.inaturalist.org/photos/7887118/medium.jpg,,1,0,false,"Morgan Territory Regional Park, Brentwood, CA, US",37.8260139,-121.7939705476,98,,,Contra Costa,Fremont's Deathcamas,Toxicoscordion fremontii,Common star lily,Plantae,49649,Toxicoscordion,Toxicoscordion fremontii
6487785,2017/06/03 9:31 AM PDT,2017-06-03,2017-06-03 16:31:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/6487785,https://inaturalist-open-data.s3.amazonaws.com/photos/8206909/medium.jpg,,3,0,false,"Contra Costa County, CA, USA",37.8199733333,-121.7949416667,,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
6487793,2017/06/03 9:38 AM PDT,2017-06-03,2017-06-03 16:38:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/6487793,https://inaturalist-open-data.s3.amazonaws.com/photos/8206924/medium.jpg,,3,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.8205716667,-121.794525,,,,Contra Costa,Salsify,Tragopogon porrifolius,purple salsify,Plantae,54141,Tragopogon,Tragopogon porrifolius
6487797,2017/06/03 9:43 AM PDT,2017-06-03,2017-06-03 16:43:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/6487797,https://inaturalist-open-data.s3.amazonaws.com/photos/8206933/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.82047,-121.7947233333,,,,Contra Costa,Valley Oak,Quercus lobata,valley oak,Plantae,49011,Quercus,Quercus lobata
6487979,2017/06/03 10:36 AM PDT,2017-06-03,2017-06-03 17:36:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/6487979,https://inaturalist-open-data.s3.amazonaws.com/photos/8207302/medium.jpg,,2,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.8232083333,-121.7857633333,,,,Contra Costa,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Aesculus,Aesculus californica
6489822,2017/06/03 12:27 PM PDT,2017-06-03,2017-06-03 19:27:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/6489822,https://inaturalist-open-data.s3.amazonaws.com/photos/8210428/medium.jpg,,2,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.820595,-121.79461,,,,Contra Costa,white brodiaea,Triteleia hyacinthina,white brodiaea,Plantae,57132,Triteleia,Triteleia hyacinthina
9736129,2018/02/04 11:52 AM PST,2018-02-04,2018-02-04 19:52:00 UTC,Pacific Time (US & Canada),29310,research,https://www.inaturalist.org/observations/9736129,https://inaturalist-open-data.s3.amazonaws.com/photos/13323833/medium.jpg,,2,0,false,"Contra Costa County, CA, USA",37.823032,-121.795209,,,,Contra Costa,milkmaids,Cardamine californica,milkmaids,Plantae,49651,Cardamine,Cardamine californica
9736131,2018/02/04 12:18 PM PST,2018-02-04,2018-02-04 20:18:00 UTC,Pacific Time (US & Canada),29310,research,https://www.inaturalist.org/observations/9736131,https://inaturalist-open-data.s3.amazonaws.com/photos/13323839/medium.jpg,,1,0,false,"Contra Costa County, CA, USA",37.830144,-121.801694,,,,Contra Costa,California bay,Umbellularia californica,California bay,Plantae,48807,Umbellularia,Umbellularia californica
9929928,Sat Feb 17 2018 11:00:02 GMT-0800 (PST),2018-02-17,2018-02-17 19:00:02 UTC,Pacific Time (US & Canada),679313,research,https://www.inaturalist.org/observations/9929928,https://static.inaturalist.org/photos/13625755/medium.jpg,First of many! ,1,0,false,"Morgan Territory Regional Park, Livermore, CA, US",37.8241267614,-121.7926555073,151,,,Contra Costa,Henderson's shooting star,Primula hendersonii,Henderson's shooting star,Plantae,487175,Primula,Primula hendersonii
9983799,2018-02-24 12:25:41 PM PST,2018-02-24,2018-02-24 20:25:41 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983799,https://inaturalist-open-data.s3.amazonaws.com/photos/13721541/medium.jpeg,,1,0,false,"Morgan Territory Regional Preserve, Contra Costa County, US-CA, US",37.82505094,-121.79591476,8,,,Contra Costa,Henderson's shooting star,Primula hendersonii,Henderson's shooting star,Plantae,487175,Primula,Primula hendersonii
9983846,2018-02-24 12:46:56 PM PST,2018-02-24,2018-02-24 20:46:56 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983846,https://inaturalist-open-data.s3.amazonaws.com/photos/13721613/medium.jpeg,,1,0,false,"Morgan Territory Regional Preserve, Contra Costa County, US-CA, US",37.82869525,-121.79996865,10,,,Contra Costa,Henderson's shooting star,Primula hendersonii,Henderson's shooting star,Plantae,487175,Primula,Primula hendersonii
9983862,2018-02-24 1:31:03 PM PST,2018-02-24,2018-02-24 21:31:03 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983862,https://inaturalist-open-data.s3.amazonaws.com/photos/13721633/medium.jpeg,,2,0,false,"Morgan Territory Regional Preserve, Contra Costa County, US-CA, US",37.83901839,-121.80366134,5,,,Contra Costa,Redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Calandrinia,Calandrinia menziesii
9983866,2018-02-24 1:57:11 PM PST,2018-02-24,2018-02-24 21:57:11 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983866,https://inaturalist-open-data.s3.amazonaws.com/photos/13721638/medium.jpeg,,2,0,false,"Morgan Territory Regional Preserve, Contra Costa County, US-CA, US",37.85153054,-121.80334658,3,,,Contra Costa,California bay,Umbellularia californica,California bay,Plantae,48807,Umbellularia,Umbellularia californica
9983882,2018-02-24 1:58:33 PM PST,2018-02-24,2018-02-24 21:58:33 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983882,https://inaturalist-open-data.s3.amazonaws.com/photos/13721640/medium.jpeg,,2,0,false,"Morgan Territory Regional Preserve, Contra Costa County, US-CA, US",37.85135756,-121.80286761,3,,,Contra Costa,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Blennosperma,Blennosperma nanum
9983904,2018-02-24 2:17:09 PM PST,2018-02-24,2018-02-24 22:17:09 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983904,https://inaturalist-open-data.s3.amazonaws.com/photos/13721666/medium.jpeg,,1,0,false,"Clayton, CA 94517, USA",37.8484573364,-121.7998275757,,,,Contra Costa,California Golden Violet,Viola pedunculata,California Golden Violet,Plantae,50825,Viola,Viola pedunculata
9983907,2018-02-24 2:22:07 PM PST,2018-02-24,2018-02-24 22:22:07 UTC,Pacific Time (US & Canada),1,research,https://www.inaturalist.org/observations/9983907,https://inaturalist-open-data.s3.amazonaws.com/photos/13721686/medium.jpeg,,1,0,false,"Morgan Territory Regional Preserve, Contra Costa County, US-CA, US",37.84659942,-121.79921784,6,,,Contra Costa,Henderson's shooting star,Primula hendersonii,Henderson's shooting star,Plantae,487175,Primula,Primula hendersonii
