id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
2838617,2016-03-27,2016-03-27 18:24:48 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2838617,http://static.inaturalist.org/photos/3234984/medium.jpeg,Found growing within a meter of the trail.,2,0,false,"2880-2998 Sinbad Creek Trail Sunol, CA 94586",37.6388165354,-121.9231313467,1032,,,Alameda,Checker lily,Fritillaria affinis,checker lily,Plantae,50618,Liliaceae,Fritillaria,Fritillaria affinis
2959366,2016-04-17,2016-04-17 21:05:53 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2959366,https://inaturalist-open-data.s3.amazonaws.com/photos/3396261/medium.jpg,"Miners lettuce 
",2,0,false,"94586, Sunol, CA, US",37.6144216396,-121.8843668048,5,,,Alameda,miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
2959435,2016-04-17,2016-04-17 21:15:03 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2959435,https://inaturalist-open-data.s3.amazonaws.com/photos/3396337/medium.jpg,,2,0,false,"94586, Sunol, CA, US",37.614077814,-121.8845483569,10,,,Alameda,California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930,Lamiaceae,Stachys,Stachys bullata
2959718,2016-04-17,2016-04-17 21:42:37 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2959718,https://inaturalist-open-data.s3.amazonaws.com/photos/3398020/medium.jpg,,2,0,false,"94586, Sunol, CA, US",37.6078896225,-121.8871903327,5,,,Alameda,Milk Thistle,Silybum marianum,milk thistle,Plantae,52586,Asteraceae,Silybum,Silybum marianum
3032757,2016-04-25,2016-04-25 22:44:12 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3032757,http://static.inaturalist.org/photos/3491142/medium.jpg,,1,0,false,"94586, Sunol, CA, US",37.61463,-121.8843083333,,,,Alameda,Dipterostemon capitatus,Dipterostemon capitatus,Blue Dicks,Plantae,1196784,Asparagaceae,Dipterostemon,Dipterostemon capitatus
3032812,2016-04-25,2016-04-25 22:51:11 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3032812,http://static.inaturalist.org/photos/3491213/medium.jpg,,2,0,false,"94586, Sunol, CA, US",37.6138033333,-121.88485,,,,Alameda,miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
3033269,2016-04-25,2016-04-25 23:49:37 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3033269,http://static.inaturalist.org/photos/3491747/medium.jpg,,2,0,false,"94586, Sunol, CA, US",37.61297,-121.88482,,,,Alameda,Common Vetch,Vicia sativa,Common Vetch,Plantae,53324,Fabaceae,Vicia,Vicia sativa
3033518,2016-04-25,2016-04-26 00:02:58 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3033518,http://static.inaturalist.org/photos/3491965/medium.jpg,,1,0,false,"94586, Sunol, CA, US",37.614995,-121.8830333333,,,,Alameda,Milk Thistle,Silybum marianum,milk thistle,Plantae,52586,Asteraceae,Silybum,Silybum marianum
3325788,2016-05-28,2016-05-28 21:11:34 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3325788,https://inaturalist-open-data.s3.amazonaws.com/photos/3841786/medium.jpg,,2,0,false,"Pleasanton Ridge Regional Park, Pleasanton, CA, US",37.6480866667,-121.9187916667,,,,Alameda,Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077,Liliaceae,Calochortus,Calochortus luteus
4439828,2016-10-26,2016-10-26 15:45:41 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4439828,http://static.inaturalist.org/photos/5344952/medium.jpg,,2,0,false,"94586, Sunol, CA, US",37.6166032395,-121.8855683507,5,,,Alameda,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Sapindaceae,Aesculus,Aesculus californica
