"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00023293","1998-07-04","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,",,,,,"  261",",,W","  133",",,W","   38",",,W"," 1740",",,W"," 1739",",,W","  200",",,W",,,"  320",",,W","  320",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-05","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,",,,,,"  256",",,W","  117",",,W","   32",",,W"," 1606",",,W"," 1642",",,W","  189",",,W",,,"  320",",,W","  310",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-06","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,",,,,,"  289",",,W","  128",",,W","   28",",,W"," 1827",",,W"," 1554",",,W","  211",",,W",,,"  310",",,W","  310",",,W","   58",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-07","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,",,,,,"  311",",,W","  150",",,W","   31",",,W"," 1418",",,W"," 1640",",,W","  233",",,W",,,"  320",",,W","  310",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-08","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,",,,,,"  239",",,W","  139",",,W","   35",",,W"," 1833",",,W"," 1801",",,W","  189",",,W",,,"  320",",,W","  320",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-09","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  217",",,W","  139",",,W","   35",",,W"," 1659",",,W"," 1630",",,W","  178",",,W",,,"  340",",,W","  310",",,W","   89",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-10","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  211",",,W","  133",",,W","   41",",,W"," 1538",",,W"," 1720",",,W","  172",",,W",,,"  340",",,W","  330",",,W","   94",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-11","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  250",",,W","  144",",,W","   34",",,W"," 1755",",,W"," 1728",",,W","  200",",,W",,,"  330",",,W","  330",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-12","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  289",",,W","  133",",,W","   26",",,W"," 1655",",,W"," 1659",",,W","  211",",,W",,,"  330",",,W","  310",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-13","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  244",",,W","  139",",,W","   34",",,W"," 1400",",,W"," 1359",",,W","  194",",,W",,,"  300",",,W","  300",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-14","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  261",",,W","  133",",,W","   32",",,W"," 1618",",,W"," 1629",",,W","  200",",,W",,,"  330",",,W","  330",",,W","   72",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-15","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  339",",,W","  150",",,W","   31",",,W"," 1717",",,W"," 1540",",,W","  244",",,W",,,"  340",",,W","  330",",,W","   89",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-16","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  328",",,W","  156",",,W","   30",",,W"," 1558",",,W"," 1534",",,W","  244",",,W",,,"  320",",,W","  320",",,W","   80",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-17","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  283",",,W","  144",",,W","   30",",,W"," 1726",",,W"," 1606",",,W","  217",",,W",,,"  320",",,W","  310",",,W","   67",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-18","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  339",",,W","  156",",,W","   26",",,W"," 1534",",,W"," 1533",",,W","  250",",,W",,,"  310",",,W","  310",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-19","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  328",",,W","  161",",,W","   30",",,W"," 1842",",,W"," 1840",",,W","  244",",,W",,,"  320",",,W","  320",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-20","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  261",",,W","  150",",,W","   33",",,W"," 1337",",,W"," 1615",",,W","  206",",,W",,,"  330",",,W","  320",",,W","   76",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-21","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  233",",,W","  150",",,W","   34",",,W"," 1837",",,W"," 1821",",,W","  194",",,W",,,"  330",",,W","  340",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-22","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  233",",,W","  144",",,W","   31",",,W"," 1615",",,W"," 1618",",,W","  189",",,W",,,"  330",",,W","  330",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","1998-07-23","37.35938","-121.92444","15.0","SAN JOSE, CA US","    0",",,W,2400",,,,,"  256",",,W","  150",",,W","   33",",,W"," 1524",",,W"," 1532",",,W","  206",",,W",,,"  330",",,W","  320",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
