id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
8242902,2017-10-03,2017-10-03 21:15:20 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8242902,https://static.inaturalist.org/photos/10931339/medium.jpg,,1,0,false,"Tilden Regional Park, Berkeley, CA, US",37.910225,-122.2676783333,,,,Contra Costa,,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
8242944,2017-10-03,2017-10-03 21:39:29 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8242944,https://static.inaturalist.org/photos/10931422/medium.jpg,,1,0,false,"Tilden Regional Park, Berkeley, CA, US",37.91228,-122.268975,,,,Contra Costa,False papyrus,Cyperus alternifolius flabelliformis,Umbrella papyrus,Plantae,414284,Cyperaceae,Cyperus,Cyperus alternifolius
8243139,2017-10-03,2017-10-03 21:49:20 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8243139,https://static.inaturalist.org/photos/10931709/medium.jpg,,1,0,false,"Tilden Regional Park, Berkeley, CA, US",37.9123466667,-122.268905,,,,Contra Costa,,Mentha pulegium,Pennyroyal,Plantae,57116,Lamiaceae,Mentha,Mentha pulegium
8318948,2017-10-08,2017-10-08 23:59:18 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8318948,https://static.inaturalist.org/photos/11047662/medium.jpg,,1,0,false,"Tilden Regional Park, Berkeley, CA, US",37.8854519455,-122.2460093816,10,,,Contra Costa,panicled willowherb,Epilobium brachycarpum,panicled willowherb,Plantae,52971,Onagraceae,Epilobium,Epilobium brachycarpum
8360473,2017-10-07,2017-10-07 22:35:57 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8360473,https://inaturalist-open-data.s3.amazonaws.com/photos/11112434/medium.jpg,,2,0,false,"Tilden Regional Park, Berkeley, CA, US",37.9050666667,-122.2599866667,,,,Contra Costa,Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
8418127,2017-10-15,2017-10-15 18:24:13 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8418127,https://static.inaturalist.org/photos/11206248/medium.jpg,,2,0,false,"Tilden Regional Park, Berkeley, CA, US",37.8939883333,-122.243125,,,,Contra Costa,coffeeberry,Frangula californica,coffeeberry,Plantae,53423,Rhamnaceae,Frangula,Frangula californica
8541513,2017-10-21,2017-10-21 16:22:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8541513,https://inaturalist-open-data.s3.amazonaws.com/photos/11409405/medium.jpg,Thistle! Still need to learn how to tell these apart...,3,0,false,"Contra Costa County, CA, USA",37.9082469479,-122.2471046463,378,,,Contra Costa,Bull Thistle,Cirsium vulgare,Bull Thistle,Plantae,52989,Asteraceae,Cirsium,Cirsium vulgare
8597533,2017-10-27,2017-10-27 20:15:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8597533,https://static.inaturalist.org/photos/11493624/medium.jpg,,1,0,false,"Contra Costa County, CA, USA",37.9123946828,-122.269012928,183,,,Contra Costa,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,Cornaceae,Cornus,Cornus sericea
8597538,2017-10-27,2017-10-27 20:17:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8597538,https://static.inaturalist.org/photos/11493796/medium.jpg,,1,0,false,"Contra Costa County, CA, USA",37.9122253921,-122.2687768936,31,,,Contra Costa,marsh baccharis,Baccharis glutinosa,marsh baccharis,Plantae,75727,Asteraceae,Baccharis,Baccharis glutinosa
8603093,2017-10-29,2017-10-29 16:41:34 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603093,https://inaturalist-open-data.s3.amazonaws.com/photos/11503652/medium.jpeg,,2,0,false,"Tilden Regional Park, Contra Costa County, US-CA, US",37.8970183,-122.25150046,19,,,Contra Costa,Late cotoneaster,Cotoneaster coriaceus,Late cotoneaster,Plantae,411074,Rosaceae,Cotoneaster,Cotoneaster coriaceus
