,plain_dates,park_name,year,month,day,hour_rise,minute_rise,hour_set,minute_set,day_length
8,20170901,Anthony Chabot Regional Park,2017,9,1,6,38,19,38,46784
9,20170901,Briones,2017,9,1,6,38,19,38,46804
10,20170901,Garin Regional Park,2017,9,1,6,38,19,38,46768
11,20170901,Joseph D Grant County Park,2017,9,1,6,37,19,36,46735
12,20170901,Mt Diablo StatePark,2017,9,1,6,37,19,37,46797
13,20170901,Pleasanton Ridge Regional Park,2017,9,1,6,38,19,37,46766
14,20170901,Sunol,2017,9,1,6,37,19,37,46754
15,20170901,Tilden,2017,9,1,6,39,19,39,46799
16,20170902,Anthony Chabot Regional Park,2017,9,2,6,39,19,37,46644
17,20170902,Briones,2017,9,2,6,39,19,37,46664
18,20170902,Garin Regional Park,2017,9,2,6,39,19,36,46630
19,20170902,Joseph D Grant County Park,2017,9,2,6,38,19,34,46597
20,20170902,Mt Diablo StatePark,2017,9,2,6,38,19,36,46657
21,20170902,Pleasanton Ridge Regional Park,2017,9,2,6,38,19,36,46627
22,20170902,Sunol,2017,9,2,6,38,19,35,46616
23,20170902,Tilden,2017,9,2,6,40,19,37,46659
24,20170903,Anthony Chabot Regional Park,2017,9,3,6,40,19,35,46504
25,20170903,Briones,2017,9,3,6,40,19,35,46523
26,20170903,Garin Regional Park,2017,9,3,6,40,19,35,46490
27,20170903,Joseph D Grant County Park,2017,9,3,6,39,19,33,46459
28,20170903,Mt Diablo StatePark,2017,9,3,6,39,19,34,46517
29,20170903,Pleasanton Ridge Regional Park,2017,9,3,6,39,19,34,46488
30,20170903,Sunol,2017,9,3,6,39,19,34,46477
31,20170903,Tilden,2017,9,3,6,40,19,36,46518
32,20170904,Anthony Chabot Regional Park,2017,9,4,6,41,19,34,46364
33,20170904,Briones,2017,9,4,6,41,19,34,46381
34,20170904,Garin Regional Park,2017,9,4,6,41,19,33,46351
35,20170904,Joseph D Grant County Park,2017,9,4,6,40,19,32,46321
36,20170904,Mt Diablo StatePark,2017,9,4,6,40,19,33,46376
37,20170904,Pleasanton Ridge Regional Park,2017,9,4,6,40,19,33,46349
38,20170904,Sunol,2017,9,4,6,40,19,32,46338
39,20170904,Tilden,2017,9,4,6,41,19,34,46377
40,20170905,Anthony Chabot Regional Park,2017,9,5,6,42,19,32,46223
41,20170905,Briones,2017,9,5,6,42,19,32,46240
42,20170905,Garin Regional Park,2017,9,5,6,41,19,32,46211
43,20170905,Joseph D Grant County Park,2017,9,5,6,40,19,30,46183
44,20170905,Mt Diablo StatePark,2017,9,5,6,41,19,31,46234
45,20170905,Pleasanton Ridge Regional Park,2017,9,5,6,41,19,31,46209
46,20170905,Sunol,2017,9,5,6,41,19,31,46198
47,20170905,Tilden,2017,9,5,6,42,19,33,46236
48,20170906,Anthony Chabot Regional Park,2017,9,6,6,43,19,31,46082
49,20170906,Briones,2017,9,6,6,43,19,31,46098
50,20170906,Garin Regional Park,2017,9,6,6,42,19,30,46070
51,20170906,Joseph D Grant County Park,2017,9,6,6,41,19,29,46044
52,20170906,Mt Diablo StatePark,2017,9,6,6,42,19,30,46093
53,20170906,Pleasanton Ridge Regional Park,2017,9,6,6,42,19,30,46068
54,20170906,Sunol,2017,9,6,6,42,19,29,46059
