,id,park,plain_dates,Year,Month,Day,WY,wy_month,WY_weeknum,genus_species,genus,species,latitude,longitude,url,image_url,minTemp,maxTemp,day_length,prec_daily,prec_cum_WY,MonSumPrec,WkSumPrec,sum_prec_prior14,sum_prec_prior30,MaxTemp_prior14,MinTemp_prior14,AvgMaxTemp_prior14,AvgMinTemp_prior14,MaxDayLen_prior14,MaxTemp_prior30,MinTemp_prior30,AvgMaxTemp_prior30,AvgMinTemp_prior30,MaxDayLen_prior30,status
3,104690215,Sunol,20220108,2022,1,8,2022,4,13,Calandrinia menziesii,Calandrinia,menziesii,37.50961603,-121.8241447,https://www.inaturalist.org/observations/104690215,https://inaturalist-open-data.s3.amazonaws.com/photos/175475965/medium.jpeg,41.0,55.49,34980.0,0.0,8.724409448818898,0.0098425196850393,0.0098425196850393,0.7007874015748023,4.498031496062991,63.05,29.12,55.29714285714285,40.90357142857143,34980.0,63.05,29.12,55.256,40.199,34980.0,1
4,104681782,Sunol,20220109,2022,1,9,2022,4,14,Cardamine californica,Cardamine,californica,37.52003833,-121.8227083,https://www.inaturalist.org/observations/104681782,https://inaturalist-open-data.s3.amazonaws.com/photos/175458008/medium.jpg,35.959999999999994,57.02,35043.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.6358267716535424,4.498031496062991,63.05,29.12,55.72785714285714,40.865,35043.0,63.05,29.12,55.274,40.181,35043.0,1
7,104737736,Sunol,20220110,2022,1,10,2022,4,14,Achillea millefolium,Achillea,millefolium,37.532265,-121.8130783,https://www.inaturalist.org/observations/104737736,https://inaturalist-open-data.s3.amazonaws.com/photos/175566322/medium.jpg,40.01,63.5,35108.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.2657480314960621,4.498031496062991,63.5,29.12,56.544285714285714,40.762142857142855,35108.0,63.5,29.12,55.391,40.493,35108.0,0
8,105020588,Sunol,20220115,2022,1,15,2022,4,14,Cardamine californica,Cardamine,californica,37.520095,-121.8215633,https://www.inaturalist.org/observations/105020588,https://inaturalist-open-data.s3.amazonaws.com/photos/176110491/medium.jpg,38.93,65.48,35478.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.0098425196850384,2.2933070866141723,65.48,29.12,60.63928571428572,41.55285714285714,35478.0,65.48,29.12,56.855,40.316,35478.0,1
10,105260902,Sunol,20220116,2022,1,16,2022,4,15,Cardamine californica,Cardamine,californica,37.52783833,-121.8108533,https://www.inaturalist.org/observations/105260902,https://inaturalist-open-data.s3.amazonaws.com/photos/176573014/medium.jpg,45.5,63.95,35561.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.0098425196850384,2.2933070866141723,65.48,35.959999999999994,61.02499999999999,42.72285714285714,35561.0,65.48,29.12,57.188,40.631,35561.0,1
11,105183373,Sunol,20220117,2022,1,17,2022,4,15,Cardamine californica,Cardamine,californica,37.50780035,-121.8292623,https://www.inaturalist.org/observations/105183373,https://static.inaturalist.org/photos/176424813/medium.jpg,41.0,64.03999999999999,35646.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.0098425196850384,2.2933070866141723,65.48,35.959999999999994,61.60357142857144,42.79357142857143,35646.0,65.48,29.12,57.623,40.913,35646.0,1
14,105186838,Sunol,20220113,2022,1,13,2022,4,14,Cardamine californica,Cardamine,californica,37.53189167,-121.826375,https://www.inaturalist.org/observations/105186838,https://inaturalist-open-data.s3.amazonaws.com/photos/176431000/medium.jpeg,42.44,61.97,35322.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.0098425196850384,2.519685039370078,64.49,29.12,58.92928571428571,40.60785714285714,35322.0,64.49,29.12,56.24,40.289,35322.0,1
16,105303288,Sunol,20220119,2022,1,19,2022,4,15,Chlorogalum pomeridianum,Chlorogalum,pomeridianum,37.53112,-121.81922,https://www.inaturalist.org/observations/105303288,https://inaturalist-open-data.s3.amazonaws.com/photos/176656612/medium.jpg,41.99,63.95,35823.0,0.0,8.724409448818898,0.0098425196850393,0.0,0.0098425196850384,2.2933070866141723,65.48,35.959999999999994,61.60357142857144,41.69428571428572,35823.0,65.48,29.12,58.289,41.234,35823.0,0
18,105408121,Sunol,20220122,2022,1,22,2022,4,15,Silybum marianum,Silybum,marianum,37.50427284,-121.8213529,https://www.inaturalist.org/observations/105408121,https://inaturalist-open-data.s3.amazonaws.com/photos/176853923/medium.jpg,41.99,65.48,36107.0,0.0,8.724409448818898,0.0098425196850393,0.0,-8.881784197001252e-16,1.5059055118110227,66.47,35.959999999999994,63.557857142857145,40.30571428571428,36107.0,66.47,29.12,59.099,40.916,36107.0,0
19,105739237,Sunol,20220128,2022,1,28,2022,4,16,Cardamine californica,Cardamine,californica,37.527795,-121.8107967,https://www.inaturalist.org/observations/105739237,https://inaturalist-open-data.s3.amazonaws.com/photos/177482589/medium.jpg,35.51,64.49000000000001,36735.0,0.0,8.724409448818898,0.0098425196850393,0.0,-8.881784197001252e-16,0.0098425196850384,66.47,33.53,64.20071428571428,38.64714285714285,36735.0,66.47,29.12,61.44500000000001,39.65,36735.0,1
20,105878841,Sunol,20220130,2022,1,30,2022,4,16,Chlorogalum pomeridianum,Chlorogalum,pomeridianum,37.52387,-121.8180167,https://www.inaturalist.org/observations/105878841,https://inaturalist-open-data.s3.amazonaws.com/photos/177752324/medium.jpg,32.45,63.5,36959.0,0.0,8.724409448818898,0.0098425196850393,0.0,-8.881784197001252e-16,0.0098425196850384,66.47,32.45,64.05928571428572,37.57357142857143,36959.0,66.47,29.12,62.09,39.49699999999999,36959.0,0
21,105951938,Sunol,20220131,2022,1,31,2022,4,16,Dipterostemon capitatus,Dipterostemon,capitatus,37.50581882,-121.8165806,https://www.inaturalist.org/observations/105951938,https://inaturalist-open-data.s3.amazonaws.com/photos/177892390/medium.jpeg,38.48,58.01,37074.0,0.0,8.724409448818898,0.0098425196850393,0.0,-8.881784197001252e-16,0.0098425196850384,66.47,32.45,63.62857142857143,37.39357142857143,37074.0,66.47,29.12,62.258,39.725,37074.0,1
24,106278155,Sunol,20220206,2022,2,6,2022,5,17,Viola pedunculata,Viola,pedunculata,37.53074167,-121.816545,https://www.inaturalist.org/observations/106278155,https://inaturalist-open-data.s3.amazonaws.com/photos/178508377/medium.jpg,33.53,67.00999999999999,37797.0,0.0,8.724409448818898,0.0216535433070866,0.0,-8.881784197001252e-16,-8.881784197001252e-16,67.00999999999999,32.45,63.26857142857143,35.503571428571426,37797.0,67.00999999999999,32.45,63.17,37.928,37797.0,1
