,id,park,plain_dates,genus_species,url,image_url,hyperlink,status,Year,Month,Day,WY,genus,species
88,67913787,JDGrant,20210106,Achillea millefolium,https://www.inaturalist.org/observations/67913787,https://static.inaturalist.org/photos/109849324/medium.jpg,https://static.inaturalist.org/photos/109849324/medium.jpg,0,2021,1,6,2021,Achillea,millefolium
139,104737736,Sunol,20220110,Achillea millefolium,https://www.inaturalist.org/observations/104737736,https://inaturalist-open-data.s3.amazonaws.com/photos/175566322/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175566322/medium.jpg,0,2022,1,10,2022,Achillea,millefolium
40,37506377,Garin,20200111,Achillea millefolium,https://www.inaturalist.org/observations/37506377,https://inaturalist-open-data.s3.amazonaws.com/photos/59470015/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/59470015/medium.jpg,0,2020,1,11,2020,Achillea,millefolium
140,104948979,JDGrant,20220114,Achillea millefolium,https://www.inaturalist.org/observations/104948979,https://inaturalist-open-data.s3.amazonaws.com/photos/175972421/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/175972421/medium.jpeg,0,2022,1,14,2022,Achillea,millefolium
141,105516029,JDGrant,20220124,Achillea millefolium,https://www.inaturalist.org/observations/105516029,https://inaturalist-open-data.s3.amazonaws.com/photos/177058981/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/177058981/medium.jpg,1,2022,1,24,2022,Achillea,millefolium
0,9722087,Briones,20180203,Achillea millefolium,https://www.inaturalist.org/observations/9722087,https://inaturalist-open-data.s3.amazonaws.com/photos/13298772/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/13298772/medium.jpg,0,2018,2,3,2018,Achillea,millefolium
1,9722091,Briones,20180203,Achillea millefolium,https://www.inaturalist.org/observations/9722091,https://inaturalist-open-data.s3.amazonaws.com/photos/13298788/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/13298788/medium.jpg,0,2018,2,3,2018,Achillea,millefolium
142,106363366,Briones,20220207,Achillea millefolium,https://www.inaturalist.org/observations/106363366,https://static.inaturalist.org/photos/178729599/medium.jpg,https://static.inaturalist.org/photos/178729599/medium.jpg,1,2022,2,7,2022,Achillea,millefolium
143,107017999,JDGrant,20220218,Achillea millefolium,https://www.inaturalist.org/observations/107017999,https://inaturalist-open-data.s3.amazonaws.com/photos/179907713/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/179907713/medium.jpeg,1,2022,2,18,2022,Achillea,millefolium
144,107165460,JDGrant,20220220,Achillea millefolium,https://www.inaturalist.org/observations/107165460,https://inaturalist-open-data.s3.amazonaws.com/photos/180186895/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/180186895/medium.jpg,1,2022,2,20,2022,Achillea,millefolium
89,69994497,Sunol,20210221,Achillea millefolium,https://www.inaturalist.org/observations/69994497,https://inaturalist-open-data.s3.amazonaws.com/photos/113702694/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/113702694/medium.jpg,0,2021,2,21,2021,Achillea,millefolium
90,70003916,Sunol,20210221,Achillea millefolium,https://www.inaturalist.org/observations/70003916,https://inaturalist-open-data.s3.amazonaws.com/photos/113719730/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/113719730/medium.jpg,0,2021,2,21,2021,Achillea,millefolium
145,107276030,Tilden,20220222,Achillea millefolium,https://www.inaturalist.org/observations/107276030,https://inaturalist-open-data.s3.amazonaws.com/photos/180393146/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/180393146/medium.jpg,0,2022,2,22,2022,Achillea,millefolium
146,107324383,Tilden,20220222,Achillea millefolium,https://www.inaturalist.org/observations/107324383,https://inaturalist-open-data.s3.amazonaws.com/photos/180483273/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/180483273/medium.jpg,0,2022,2,22,2022,Achillea,millefolium
