,id,park,plain_dates,genus_species,url,image_url,hyperlink,status
2564,87655127,Sunol,20210718,Cirsium vulgare,https://www.inaturalist.org/observations/87655127,https://static.inaturalist.org/photos/144539953/medium.jpg,https://static.inaturalist.org/photos/144539953/medium.jpg,2
2782,32576439,PRidge,20190706,Cirsium vulgare,https://www.inaturalist.org/observations/32576439,https://inaturalist-open-data.s3.amazonaws.com/photos/51107059/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/51107059/medium.jpeg,1
3231,106866733,Briones,20220215,Cirsium vulgare,https://www.inaturalist.org/observations/106866733,https://inaturalist-open-data.s3.amazonaws.com/photos/179620812/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/179620812/medium.jpeg,1
3585,115294067,Briones,20220429,Cirsium vulgare,https://www.inaturalist.org/observations/115294067,https://inaturalist-open-data.s3.amazonaws.com/photos/194620496/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/194620496/medium.jpeg,0
4550,76437958,Briones,20210501,Cirsium vulgare,https://www.inaturalist.org/observations/76437958,https://static.inaturalist.org/photos/125040297/medium.jpeg,https://static.inaturalist.org/photos/125040297/medium.jpeg,0
4690,77542256,Briones,20210501,Cirsium vulgare,https://www.inaturalist.org/observations/77542256,https://inaturalist-open-data.s3.amazonaws.com/photos/126824066/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/126824066/medium.jpeg,0
5074,24143608,Briones,20190427,Cirsium vulgare,https://www.inaturalist.org/observations/24143608,https://inaturalist-open-data.s3.amazonaws.com/photos/37337857/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/37337857/medium.jpeg,0
5168,24919151,Briones,20190509,Cirsium vulgare,https://www.inaturalist.org/observations/24919151,https://inaturalist-open-data.s3.amazonaws.com/photos/38549460/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/38549460/medium.jpeg,0
5826,44340042,Briones,20200424,Cirsium vulgare,https://www.inaturalist.org/observations/44340042,https://inaturalist-open-data.s3.amazonaws.com/photos/70299556/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70299556/medium.jpeg,0
6090,55109340,Briones,20200801,Cirsium vulgare,https://www.inaturalist.org/observations/55109340,https://static.inaturalist.org/photos/87729952/medium.jpg,https://static.inaturalist.org/photos/87729952/medium.jpg,1
