id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
104376101,1/4/22,2022-01-04 16:27:52 UTC,UTC,research,https://www.inaturalist.org/observations/104376101,https://inaturalist-open-data.s3.amazonaws.com/photos/174879282/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, San Leandro, CA, US",37.71584575,-122.1119833,5,,Castro Valley,Alameda,milk thistle,Silybum marianum,milk thistle,Plantae,52586,Asteraceae,Silybum,Silybum marianum
104594871,1/8/22,2022-01-08 19:27:56 UTC,Hawaii,research,https://www.inaturalist.org/observations/104594871,https://static.inaturalist.org/photos/175293885/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.73378833,-122.1013333,7,,,Alameda,cardo mariano,Silybum marianum,milk thistle,Plantae,52586,Asteraceae,Silybum,Silybum marianum
104677640,1/9/22,2022-01-09 16:39:22 UTC,UTC,research,https://www.inaturalist.org/observations/104677640,https://inaturalist-open-data.s3.amazonaws.com/photos/175450632/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.72158799,-122.1039924,7,,Castro Valley,Alameda,California bay,Umbellularia californica,California bay,Plantae,48807,Lauraceae,Umbellularia,Umbellularia californica
105132679,1/17/22,2022-01-18 00:49:55 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105132679,https://inaturalist-open-data.s3.amazonaws.com/photos/176327087/medium.jpeg,,1,0,FALSE,Anthony Chabot Campground,37.73517163,-122.0960976,190,,,Alameda,California bay,Umbellularia californica,California bay,Plantae,48807,Lauraceae,Umbellularia,Umbellularia californica
105134302,1/17/22,2022-01-17 15:10:47 UTC,UTC,research,https://www.inaturalist.org/observations/105134302,https://inaturalist-open-data.s3.amazonaws.com/photos/176330397/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.78322167,-122.13865,4,,,Alameda,coffeeberry,Frangula californica,coffeeberry,Plantae,53423,Rhamnaceae,Frangula,Frangula californica
105134363,1/17/22,2022-01-17 14:42:08 UTC,UTC,research,https://www.inaturalist.org/observations/105134363,https://inaturalist-open-data.s3.amazonaws.com/photos/176330532/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.78217833,-122.1383445,4,,,Alameda,California manroot,Marah fabacea,California manroot,Plantae,205330,Cucurbitaceae,Marah,Marah fabacea
105139129,1/17/22,2022-01-17 14:12:35 UTC,UTC,research,https://www.inaturalist.org/observations/105139129,https://inaturalist-open-data.s3.amazonaws.com/photos/176340024/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.75626926,-122.1169744,5,,,Alameda,Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046,Ericaceae,Arbutus,Arbutus menziesii
105139161,1/17/22,2022-01-17 14:14:03 UTC,UTC,research,https://www.inaturalist.org/observations/105139161,https://inaturalist-open-data.s3.amazonaws.com/photos/176340057/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.75603787,-122.1172525,10,,,Alameda,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
105139175,1/17/22,2022-01-17 14:16:15 UTC,UTC,research,https://www.inaturalist.org/observations/105139175,https://inaturalist-open-data.s3.amazonaws.com/photos/176340095/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.75651988,-122.1169958,5,,,Alameda,orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371,Phrymaceae,Diplacus,Diplacus aurantiacus
105139208,1/17/22,2022-01-17 14:26:54 UTC,UTC,research,https://www.inaturalist.org/observations/105139208,https://inaturalist-open-data.s3.amazonaws.com/photos/176340190/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.75785,-122.1170268,10,,,Alameda,common cowparsnip,Heracleum maximum,common cowparsnip,Plantae,53094,Apiaceae,Heracleum,Heracleum maximum
