id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
104678549,1/9/22,2022-01-09 21:52:55 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104678549,https://inaturalist-open-data.s3.amazonaws.com/photos/175451885/medium.jpeg,,1,0,FALSE,"Pacheco, CA 94553, USA",37.94397144,-122.1402575,6,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
104956087,1/14/22,2022-01-14 19:13:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104956087,https://inaturalist-open-data.s3.amazonaws.com/photos/175985968/medium.jpeg,,3,0,FALSE,"Briones Regional Park , California",37.947934,-122.135411,104,,,Contra Costa,Osoberry,Oemleria cerasiformis,Osoberry,Plantae,53419,Rosaceae,Oemleria,Oemleria cerasiformis
105129851,1/15/22,2022-01-16 02:27:59 UTC,Hawaii,research,https://www.inaturalist.org/observations/105129851,https://inaturalist-open-data.s3.amazonaws.com/photos/176322093/medium.jpg,,1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.93765333,-122.156975,9,,,Contra Costa,Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
105391356,1/22/22,2022-01-22 22:20:38 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105391356,https://static.inaturalist.org/photos/176875908/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.9524411,-122.1360049,9,,,Contra Costa,miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
105404573,1/22/22,2022-01-22 16:26:44 UTC,Eastern Time (US & Canada),research,https://www.inaturalist.org/observations/105404573,https://inaturalist-open-data.s3.amazonaws.com/photos/176846797/medium.jpg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.94657968,-122.1355326,7,,,Contra Costa,Corn spurrey,Spergula arvensis,Corn spurrey,Plantae,57005,Caryophyllaceae,Spergula,Spergula arvensis
105404792,1/22/22,2022-01-22 16:43:39 UTC,Eastern Time (US & Canada),research,https://www.inaturalist.org/observations/105404792,https://inaturalist-open-data.s3.amazonaws.com/photos/176847039/medium.jpg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.94288227,-122.1379909,8,,,Contra Costa,California buttercup,Ranunculus californicus,California buttercup,Plantae,52173,Ranunculaceae,Ranunculus,Ranunculus californicus
105404834,1/22/22,2022-01-22 19:51:57 UTC,Eastern Time (US & Canada),research,https://www.inaturalist.org/observations/105404834,https://inaturalist-open-data.s3.amazonaws.com/photos/176847055/medium.jpg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.94403253,-122.1411666,7,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105404978,1/22/22,2022-01-22 21:30:13 UTC,Eastern Time (US & Canada),research,https://www.inaturalist.org/observations/105404978,https://inaturalist-open-data.s3.amazonaws.com/photos/176847388/medium.jpg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.9585888,-122.142597,9,,,Contra Costa,miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
105452545,1/23/22,2022-01-23 20:38:27 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105452545,https://inaturalist-open-data.s3.amazonaws.com/photos/176950609/medium.jpeg,,2,0,FALSE,Lafayette,37.92072678,-122.140892,4,,,Contra Costa,Warrior's Plume,Pedicularis densiflora,Warrior's Plume,Plantae,49645,Orobanchaceae,Pedicularis,Pedicularis densiflora
105475545,1/23/22,2022-01-23 20:45:37 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105475545,https://inaturalist-open-data.s3.amazonaws.com/photos/176981113/medium.jpeg,First I've seen this year. At Briones Regional Park ,1,0,FALSE,"Pacheco, CA 94553, USA",37.929664,-122.160515,,,,Contra Costa,California poppy,Eschscholzia californica,California poppy,Plantae,48225,Papaveraceae,Eschscholzia,Eschscholzia californica
105475661,1/23/22,2022-01-23 20:42:46 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105475661,https://inaturalist-open-data.s3.amazonaws.com/photos/176981265/medium.jpeg,,1,0,FALSE,"Pacheco, CA 94553, USA",37.92877097,-122.160118,,,,Contra Costa,shepherd's-purse,Capsella bursa-pastoris,shepherd's-purse,Plantae,56121,Brassicaceae,Capsella,Capsella bursa-pastoris
105527615,1/24/22,2022-01-24 23:15:25 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105527615,https://inaturalist-open-data.s3.amazonaws.com/photos/177080908/medium.jpg,,1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.93279167,-122.1550528,5,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105685698,1/27/22,2022-01-27 12:58:08 UTC,UTC,research,https://www.inaturalist.org/observations/105685698,https://inaturalist-open-data.s3.amazonaws.com/photos/177389676/medium.jpg,,1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.93030833,-122.1449362,6,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105754352,1/28/22,2022-01-28 14:12:04 UTC,UTC,research,https://www.inaturalist.org/observations/105754352,https://static.inaturalist.org/photos/177512852/medium.jpg,,2,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.90739167,-122.1157388,4,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105865319,1/30/22,2022-01-30 14:09:46 UTC,UTC,research,https://www.inaturalist.org/observations/105865319,https://static.inaturalist.org/photos/181862036/medium.jpg,,2,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.91149167,-122.1286778,15,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105868097,1/30/22,2022-01-30 14:45:04 UTC,UTC,research,https://www.inaturalist.org/observations/105868097,https://inaturalist-open-data.s3.amazonaws.com/photos/177731770/medium.jpg,,1,0,FALSE,"Briones Regional Park, Martinez, CA, US",37.946245,-122.1534362,4,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105868768,1/30/22,2022-01-30 14:01:05 UTC,UTC,research,https://www.inaturalist.org/observations/105868768,https://inaturalist-open-data.s3.amazonaws.com/photos/177732836/medium.jpg,,1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.9316,-122.1567917,4,,,Contra Costa,California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854,Asteraceae,Artemisia,Artemisia douglasiana
105869178,1/30/22,2022-01-30 15:03:00 UTC,UTC,research,https://www.inaturalist.org/observations/105869178,https://static.inaturalist.org/photos/177742711/medium.jpg,,1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.91055333,-122.1261055,8,,,Contra Costa,Blue Dicks,Dipterostemon capitatus,Blue Dicks,Plantae,1196784,Asparagaceae,Dipterostemon,Dipterostemon capitatus
105871005,1/30/22,2022-01-30 20:13:16 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105871005,https://inaturalist-open-data.s3.amazonaws.com/photos/177737353/medium.jpg,,1,0,FALSE,"Briones Regional Park, Martinez, CA, US",37.93981667,-122.1297917,4,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
105873975,1/30/22,2022-01-30 14:46:42 UTC,UTC,research,https://www.inaturalist.org/observations/105873975,https://static.inaturalist.org/photos/177743280/medium.jpg,"I think this is it. Cat said that the anthers are attached to the calyx and not the stigma, so this might be lycopsoides not menziesii",1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.9109,-122.1274195,4,,,Contra Costa,Rancher's fiddleneck,Amsinckia menziesii intermedia,Rancher's fiddleneck,Plantae,49141,Boraginaceae,Amsinckia,Amsinckia menziesii
105880408,1/30/22,2022-01-30 22:16:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105880408,https://inaturalist-open-data.s3.amazonaws.com/photos/177754784/medium.jpg,,2,1,FALSE,"Contra Costa County, CA, USA",37.91725165,-122.1364258,7,,,Contra Costa,Diablo helianthella,Helianthella castanea,Mt. Diablo Helianthella,Plantae,64250,Asteraceae,Helianthella,Helianthella castanea
105880410,1/30/22,2022-01-30 22:25:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105880410,https://inaturalist-open-data.s3.amazonaws.com/photos/177754800/medium.jpg,,1,0,FALSE,"Contra Costa County, CA, USA",37.91568668,-122.1353172,69,,,Contra Costa,Erysimum capitatum capitatum,Erysimum capitatum capitatum,,Plantae,50627,Brassicaceae,Erysimum,Erysimum capitatum
