id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
105874552,1/30/22,2022-01-30 18:27:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874552,https://inaturalist-open-data.s3.amazonaws.com/photos/177743443/medium.jpg,,1,0,FALSE,Garin Regional Park,37.62424833,-122.026705,,,,Alameda,Cretan Tree-mallow,Malva multiflora,Cretan mallow,Plantae,501208,Malvaceae,Malva,Malva multiflora
105874567,1/30/22,2022-01-30 20:18:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874567,https://inaturalist-open-data.s3.amazonaws.com/photos/177743503/medium.jpg,,2,0,FALSE,Garin Regional Park,37.63538667,-122.031105,,,,Alameda,cardo de huerta,Cynara cardunculus,Artichoke Thistle,Plantae,57563,Asteraceae,Cynara,Cynara cardunculus
105874568,1/30/22,2022-01-30 20:28:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874568,https://inaturalist-open-data.s3.amazonaws.com/photos/177743507/medium.jpg,,1,0,FALSE,Garin Regional Park,37.63759,-122.035875,,,,Alameda,scarlet pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928,Primulaceae,Lysimachia,Lysimachia arvensis
105874570,1/30/22,2022-01-30 20:29:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874570,https://inaturalist-open-data.s3.amazonaws.com/photos/177743516/medium.jpg,,1,0,FALSE,Garin Regional Park,37.637585,-122.0359117,,,,Alameda,California sagebrush,Artemisia californica,California sagebrush,Plantae,53357,Asteraceae,Artemisia,Artemisia californica
105874573,1/30/22,2022-01-30 20:30:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874573,https://inaturalist-open-data.s3.amazonaws.com/photos/177743527/medium.jpg,,1,0,FALSE,Garin Regional Park,37.63764,-122.03602,,,,Alameda,California poppy,Eschscholzia californica,California poppy,Plantae,48225,Papaveraceae,Eschscholzia,Eschscholzia californica
105874577,1/30/22,2022-01-30 20:48:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874577,https://inaturalist-open-data.s3.amazonaws.com/photos/177743537/medium.jpg,,1,0,FALSE,Garin Regional Park,37.64186,-122.0397833,,,,Alameda,Shining Pepperweed,Lepidium nitidum,Shining Pepperweed,Plantae,47202,Brassicaceae,Lepidium,Lepidium nitidum
105874578,1/30/22,2022-01-30 20:51:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874578,https://inaturalist-open-data.s3.amazonaws.com/photos/177743543/medium.jpg,,1,0,FALSE,Garin Regional Park,37.64217,-122.0388633,,,,Alameda,milkmaids,Cardamine californica,milkmaids,Plantae,49651,Brassicaceae,Cardamine,Cardamine californica
105874580,1/30/22,2022-01-30 21:38:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874580,https://inaturalist-open-data.s3.amazonaws.com/photos/177743556/medium.jpg,,1,0,FALSE,Garin Regional Park,37.64656333,-122.039895,,,,Alameda,crevice alumroot,Heuchera micrantha,crevice alumroot,Plantae,51274,Saxifragaceae,Heuchera,Heuchera micrantha
105874584,1/30/22,2022-01-30 21:48:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105874584,https://inaturalist-open-data.s3.amazonaws.com/photos/177743562/medium.jpg,,1,0,FALSE,Garin Regional Park,37.64636333,-122.0382133,,,Hayward,Alameda,broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132,Boraginaceae,Myosotis,Myosotis latifolia
106643472,2/11/22,2022-02-11 12:17:57 UTC,UTC,research,https://www.inaturalist.org/observations/106643472,https://static.inaturalist.org/photos/179189074/medium.jpg,,2,0,FALSE,"Union City, CA, US",37.62092343,-121.9661789,630,,,Alameda,Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169,Oxalidaceae,Oxalis,Oxalis pes-caprae
108066399,3/6/22,2022-03-06 22:44:50 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/108066399,https://inaturalist-open-data.s3.amazonaws.com/photos/181873905/medium.jpeg,,1,0,FALSE,"Hayward, CA 94552, USA",37.64158199,-122.0090475,5,,Hayward,Alameda,Rosy Sandcrocus,Romulea rosea australis,Rosy Sandcrocus,Plantae,68895,Iridaceae,Romulea,Romulea rosea
108066750,3/6/22,2022-03-06 23:15:52 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/108066750,https://inaturalist-open-data.s3.amazonaws.com/photos/181874628/medium.jpeg,,1,0,FALSE,"Hayward, CA 94552, USA",37.64436638,-122.0082889,9,,Hayward,Alameda,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
110722820,4/3/22,2022-04-03 13:20:00 UTC,UTC,research,https://www.inaturalist.org/observations/110722820,https://inaturalist-open-data.s3.amazonaws.com/photos/186830168/medium.jpg,,1,0,FALSE,"Alameda County, CA, USA",37.64060248,-122.0294409,122,,,Alameda,miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
112014749,4/17/22,2022-04-17 23:01:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/112014749,https://static.inaturalist.org/photos/189170233/medium.jpg,Beautiful fennel with some vetch in it,1,0,FALSE,"Mission - Garin, Hayward, CA, USA",37.645513,-122.043763,,,,Alameda,fennel,Foeniculum vulgare,fennel,Plantae,53052,Apiaceae,Foeniculum,Foeniculum vulgare
112014756,4/17/22,2022-04-17 23:11:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/112014756,https://static.inaturalist.org/photos/189170523/medium.jpg,,3,0,FALSE,"Hayward Highland, Hayward, CA, USA",37.64608469,-122.0354425,197,,Hayward,Alameda,checker lily,Fritillaria affinis,checker lily,Plantae,50618,Liliaceae,Fritillaria,Fritillaria affinis
112014761,4/17/22,2022-04-17 23:21:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/112014761,https://static.inaturalist.org/photos/189170646/medium.jpg,epicormic sprouts on this bay tree that looks in terrible shape.,1,0,FALSE,"Hayward, CA, USA",37.64576188,-122.0361292,182,,Hayward,Alameda,California bay,Umbellularia californica,California bay,Plantae,48807,Lauraceae,Umbellularia,Umbellularia californica
