id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
12145119,10/18/15,2015-10-18 19:55:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/12145119,https://inaturalist-open-data.s3.amazonaws.com/photos/17429799/medium.jpg,"Invasive to U.S., native to Europe.",1,0,FALSE,"Santa Clara County, CA, USA",37.3416305,-121.7115963,15,,,Santa Clara,bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989,Asteraceae,Cirsium,Cirsium vulgare
103338586,10/18/15,2015-10-18 20:10:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/103338586,https://inaturalist-open-data.s3.amazonaws.com/photos/172926616/medium.jpg,,1,0,FALSE,"Joseph D Grant County Park, San Jose, CA, US",37.33942,-121.7064033,,,,Santa Clara,California buckeye,Aesculus californica,California buckeye,Plantae,53348,Sapindaceae,Aesculus,Aesculus californica
106776929,10/18/15,2015-10-18 22:04:25 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106776929,https://inaturalist-open-data.s3.amazonaws.com/photos/179449017/medium.jpg,,1,0,FALSE,"Joseph D. Grant County Park, Mount Hamilton, CA, US",37.35109667,-121.6946783,,,,Santa Clara,Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080,Anacardiaceae,Toxicodendron,Toxicodendron diversilobum
106777490,10/18/15,2015-10-18 19:46:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106777490,https://inaturalist-open-data.s3.amazonaws.com/photos/179450081/medium.jpeg,Native to CA.,1,0,FALSE,"Santa Clara County, CA, USA",37.34201482,-121.7119798,31,,,Santa Clara,Vinegar Weed,Trichostema lanceolatum,Vinegar Weed,Plantae,54875,Lamiaceae,Trichostema,Trichostema lanceolatum
106778194,10/18/15,2015-10-18 20:18:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106778194,https://inaturalist-open-data.s3.amazonaws.com/photos/179451077/medium.jpeg,Native to California.,1,0,FALSE,"Santa Clara County, CA, USA",37.33743538,-121.7014011,31,,,Santa Clara,turkey mullein,Croton setiger,turkey mullein,Plantae,154156,Euphorbiaceae,Croton,Croton setiger
106778196,10/18/15,2015-10-18 20:43:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106778196,https://inaturalist-open-data.s3.amazonaws.com/photos/179451868/medium.jpeg,,1,0,FALSE,"Santa Clara County, CA, USA",37.33737378,-121.7003805,61,,,Santa Clara,Naked Buckwheat,Eriogonum nudum,Naked Buckwheat,Plantae,53046,Polygonaceae,Eriogonum,Eriogonum nudum
106778640,10/18/15,2015-10-18 22:49:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106778640,https://inaturalist-open-data.s3.amazonaws.com/photos/179452786/medium.jpeg,,1,0,FALSE,"Santa Clara County, CA, USA",37.34337693,-121.7156566,31,,,Santa Clara,coyote brush,Baccharis pilularis,coyote brush,Plantae,53359,Asteraceae,Baccharis,Baccharis pilularis
3663749,3/20/16,2016-03-20 21:05:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3663749,https://inaturalist-open-data.s3.amazonaws.com/photos/4242465/medium.jpg,,1,0,FALSE,"Santa Clara County, CA, USA",37.34673966,-121.7174435,31,,,Santa Clara,Common Dandelion,Taraxacum officinale,common dandelion,Plantae,47602,Asteraceae,Taraxacum,Taraxacum officinale
4652598,3/20/16,2016-03-20 17:25:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4652598,https://inaturalist-open-data.s3.amazonaws.com/photos/5631629/medium.jpg,Native to California.,1,0,FALSE,"Santa Clara County, CA, USA",37.34230008,-121.7123687,8,,,Santa Clara,California Golden Violet,Viola pedunculata,California Golden Violet,Plantae,50825,Violaceae,Viola,Viola pedunculata
4658587,3/20/16,2016-03-20 17:01:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4658587,https://inaturalist-open-data.s3.amazonaws.com/photos/5639630/medium.jpg,"Introduced to California and North America, native to North East Asia.",2,0,FALSE,"Santa Clara County, CA, USA",37.34269671,-121.7160702,15,,,Santa Clara,Pineapple Weed,Matricaria discoidea,pineapple-weed,Plantae,52992,Asteraceae,Matricaria,Matricaria discoidea
4658588,3/20/16,2016-03-20 17:09:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4658588,https://inaturalist-open-data.s3.amazonaws.com/photos/5639631/medium.jpg,Native to California.,1,0,FALSE,"Santa Clara County, CA, USA",37.3431829,-121.7150509,15,,,Santa Clara,California Poppy,Eschscholzia californica,California poppy,Plantae,48225,Papaveraceae,Eschscholzia,Eschscholzia californica
5291761,3/20/16,2016-03-20 17:29:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/5291761,https://inaturalist-open-data.s3.amazonaws.com/photos/6546879/medium.jpg,Native to California.,2,0,FALSE,"Santa Clara County, CA, USA",37.34164756,-121.7114353,4,,,Santa Clara,Adelinia grande,Adelinia grande,Pacific hound's tongue,Plantae,769151,Boraginaceae,Adelinia,Adelinia grande
