id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
104126702,1/1/22,2022-01-01 12:13:21 UTC,UTC,research,https://www.inaturalist.org/observations/104126702,https://static.inaturalist.org/photos/174439898/medium.jpeg,,1,0,FALSE,Sunol,37.61440659,-121.8911972,,,Alameda,Крапива жгучая,Urtica urens,Dwarf Nettle,Plantae,53315,Urticaceae,Urtica,Urtica urens
104137915,1/1/22,2022-01-01 18:08:10 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104137915,https://inaturalist-open-data.s3.amazonaws.com/photos/174460846/medium.jpg,,1,0,FALSE,Pleasanton Ridge Regional Park,37.65563234,-121.9236459,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
104138505,1/1/22,2022-01-01 19:55:18 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104138505,https://inaturalist-open-data.s3.amazonaws.com/photos/174461884/medium.jpg,,1,0,FALSE,Pleasanton Ridge Regional Park,37.6556167,-121.9236401,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
104436030,1/5/22,2022-01-05 13:58:59 UTC,UTC,research,https://www.inaturalist.org/observations/104436030,https://inaturalist-open-data.s3.amazonaws.com/photos/174992967/medium.jpg,,2,0,FALSE,"Pleasanton Ridge Regional Park, Sunol, CA, US",37.611155,-121.8912367,,,Alameda,California sagebrush,Artemisia californica,California sagebrush,Plantae,53357,Asteraceae,Artemisia,Artemisia californica
104740906,1/10/22,2022-01-10 18:49:14 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104740906,https://inaturalist-open-data.s3.amazonaws.com/photos/175573410/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, CA, US",37.65579444,-121.9237444,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
104823371,1/10/22,2022-01-10 10:51:11 UTC,UTC,research,https://www.inaturalist.org/observations/104823371,https://inaturalist-open-data.s3.amazonaws.com/photos/175730589/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Pleasanton, CA, US",37.655855,-121.9237883,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
105058750,1/16/22,2022-01-16 21:32:31 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105058750,https://inaturalist-open-data.s3.amazonaws.com/photos/176183513/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Sunol, CA, US",37.60663667,-121.8887417,,,Alameda,common chickweed,Stellaria media,common chickweed,Plantae,53298,Caryophyllaceae,Stellaria,Stellaria media
105234260,1/19/22,2022-01-19 18:20:14 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/105234260,https://inaturalist-open-data.s3.amazonaws.com/photos/176521047/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, CA, US",37.65579167,-121.9237417,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
105853112,1/30/22,2022-01-30 10:40:40 UTC,UTC,research,https://www.inaturalist.org/observations/105853112,https://static.inaturalist.org/photos/177703049/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Hayward, CA, US",37.65141333,-121.9332667,,,Alameda,Pacific hound's tongue,Adelinia grande,Pacific hound's tongue,Plantae,769151,Boraginaceae,Adelinia,Adelinia grande
106032515,1/30/22,2022-01-30 14:03:33 UTC,UTC,research,https://www.inaturalist.org/observations/106032515,https://static.inaturalist.org/photos/178041534/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Sunol, CA, US",37.61738667,-121.8867867,,,Alameda,milk thistle,Silybum marianum,milk thistle,Plantae,52586,Asteraceae,Silybum,Silybum marianum
106098085,2/3/22,2022-02-03 11:30:00 UTC,UTC,research,https://www.inaturalist.org/observations/106098085,https://static.inaturalist.org/photos/178167348/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, 海沃德, CA, US",37.65933856,-121.9288234,,Hayward,Alameda,Pacific hound's tongue,Adelinia grande,Pacific hound's tongue,Plantae,769151,Boraginaceae,Adelinia,Adelinia grande
106193255,2/5/22,2022-02-05 19:34:25 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106193255,https://inaturalist-open-data.s3.amazonaws.com/photos/178349347/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Pleasanton, CA, US",37.65344167,-121.9228583,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
106193326,2/5/22,2022-02-05 19:00:08 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/106193326,https://inaturalist-open-data.s3.amazonaws.com/photos/178349489/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Pleasanton, CA, US",37.648845,-121.9188917,,,Alameda,Padre's Shooting Star,Primula clevelandii,Padre's Shooting Star,Plantae,486971,Primulaceae,Primula,Primula clevelandii
106216395,2/5/22,2022-02-05 09:39:47 UTC,UTC,research,https://www.inaturalist.org/observations/106216395,https://inaturalist-open-data.s3.amazonaws.com/photos/178394445/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Sunol, CA, US",37.61618,-121.895895,,,Alameda,Common star lily,Toxicoscordion fremontii,Common star lily,Plantae,49649,Melanthiaceae,Toxicoscordion,Toxicoscordion fremontii
106265590,2/5/22,2022-02-05 11:00:02 UTC,UTC,research,https://www.inaturalist.org/observations/106265590,https://static.inaturalist.org/photos/178484392/medium.jpg,,2,0,FALSE,"Pleasanton Ridge Regional Park, Pleasanton, CA, US",37.648845,-121.9188783,,,Alameda,Padre's Shooting Star,Primula clevelandii,Padre's Shooting Star,Plantae,486971,Primulaceae,Primula,Primula clevelandii
106513405,2/10/22,2022-02-10 13:30:14 UTC,UTC,research,https://www.inaturalist.org/observations/106513405,https://static.inaturalist.org/photos/178940664/medium.jpg,,2,0,FALSE,"Pleasanton Ridge Regional Park, Sunol, CA, US",37.61469518,-121.8918699,,,Alameda,Rosy sandcrocus,Romulea rosea,Rosy sandcrocus,Plantae,68896,Iridaceae,Romulea,Romulea rosea
106713135,2/13/22,2022-02-14 02:03:53 UTC,Hawaii,research,https://www.inaturalist.org/observations/106713135,https://static.inaturalist.org/photos/179323735/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Pleasanton, CA, US",37.65474537,-121.9223013,,,Alameda,miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
107087089,2/19/22,2022-02-19 23:22:42 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/107087089,https://inaturalist-open-data.s3.amazonaws.com/photos/180037412/medium.jpg,,1,0,FALSE,"Pleasanton Ridge Regional Park, Hayward, CA, US",37.65546129,-121.9389878,,Hayward,Alameda,glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
107214027,2/21/22,2022-02-21 19:29:58 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/107214027,https://inaturalist-open-data.s3.amazonaws.com/photos/180276520/medium.jpeg,,1,0,FALSE,"Pleasanton, CA 94588, USA",37.638849,-121.914955,,,Alameda,Blue Dicks,Dipterostemon capitatus,Blue Dicks,Plantae,1196784,Asparagaceae,Dipterostemon,Dipterostemon capitatus
