id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
8242902,10/3/17,2017-10-03 21:15:20 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8242902,https://static.inaturalist.org/photos/10931339/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.910225,-122.2676783,,,,Contra Costa,,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
8242944,10/3/17,2017-10-03 21:39:29 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8242944,https://static.inaturalist.org/photos/10931422/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.91228,-122.268975,,,,Contra Costa,False papyrus,Cyperus alternifolius flabelliformis,Umbrella papyrus,Plantae,414284,Cyperaceae,Cyperus,Cyperus alternifolius
8243139,10/3/17,2017-10-03 21:49:20 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8243139,https://static.inaturalist.org/photos/10931709/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.91234667,-122.268905,,,,Contra Costa,,Mentha pulegium,Pennyroyal,Plantae,57116,Lamiaceae,Mentha,Mentha pulegium
8360473,10/7/17,2017-10-07 22:35:57 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8360473,https://inaturalist-open-data.s3.amazonaws.com/photos/11112434/medium.jpg,,2,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.90506667,-122.2599867,,,,Contra Costa,Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
8318948,10/8/17,2017-10-08 23:59:18 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8318948,https://static.inaturalist.org/photos/11047662/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.88545195,-122.2460094,10,,,Contra Costa,panicled willowherb,Epilobium brachycarpum,panicled willowherb,Plantae,52971,Onagraceae,Epilobium,Epilobium brachycarpum
8418127,10/15/17,2017-10-15 18:24:13 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8418127,https://static.inaturalist.org/photos/11206248/medium.jpg,,2,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.89398833,-122.243125,,,,Contra Costa,coffeeberry,Frangula californica,coffeeberry,Plantae,53423,Rhamnaceae,Frangula,Frangula californica
8624641,10/20/17,2017-10-20 19:10:08 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8624641,https://static.inaturalist.org/photos/11540573/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.88508104,-122.2457203,525,,,Contra Costa,coast silk tassel,Garrya elliptica,Coast silk tassel,Plantae,53399,Garryaceae,Garrya,Garrya elliptica
8541513,10/21/17,2017-10-21 16:22:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8541513,https://inaturalist-open-data.s3.amazonaws.com/photos/11409405/medium.jpg,Thistle! Still need to learn how to tell these apart...,3,0,FALSE,"Contra Costa County, CA, USA",37.90824695,-122.2471046,378,,,Contra Costa,Bull Thistle,Cirsium vulgare,Bull Thistle,Plantae,52989,Asteraceae,Cirsium,Cirsium vulgare
8597533,10/27/17,2017-10-27 20:15:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8597533,https://static.inaturalist.org/photos/11493624/medium.jpg,,1,0,FALSE,"Contra Costa County, CA, USA",37.91239468,-122.2690129,183,,,Contra Costa,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,Cornaceae,Cornus,Cornus sericea
8597538,10/27/17,2017-10-27 20:17:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8597538,https://static.inaturalist.org/photos/11493796/medium.jpg,,1,0,FALSE,"Contra Costa County, CA, USA",37.91222539,-122.2687769,31,,,Contra Costa,marsh baccharis,Baccharis glutinosa,marsh baccharis,Plantae,75727,Asteraceae,Baccharis,Baccharis glutinosa
8883451,10/27/17,2017-10-27 20:26:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8883451,https://inaturalist-open-data.s3.amazonaws.com/photos/11947679/medium.jpg,,1,0,FALSE,"Kensington, CA, USA",37.90935081,-122.2673305,,,,Contra Costa,Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
8603093,10/29/17,2017-10-29 16:41:34 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603093,https://inaturalist-open-data.s3.amazonaws.com/photos/11503652/medium.jpeg,,2,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.8970183,-122.2515005,19,,,Contra Costa,Late cotoneaster,Cotoneaster coriaceus,Late cotoneaster,Plantae,411074,Rosaceae,Cotoneaster,Cotoneaster coriaceus
8603112,10/29/17,2017-10-29 16:56:52 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603112,https://inaturalist-open-data.s3.amazonaws.com/photos/11503692/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89768578,-122.2506513,9,,,Contra Costa,ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178,Plantaginaceae,Plantago,Plantago lanceolata
8603115,10/29/17,2017-10-29 16:59:06 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603115,https://inaturalist-open-data.s3.amazonaws.com/photos/11503699/medium.jpeg,,2,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.8947199,-122.2520951,800,,,Contra Costa,fringed willowherb,Epilobium ciliatum,fringed willowherb,Plantae,53050,Onagraceae,Epilobium,Epilobium ciliatum
8603118,10/29/17,2017-10-29 16:59:46 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603118,https://inaturalist-open-data.s3.amazonaws.com/photos/11503709/medium.jpeg,,1,0,FALSE,"Selby Trail, Berkeley, CA 94708, USA",37.89767056,-122.2505278,9,,,Contra Costa,American brooklime,Veronica americana,American brooklime,Plantae,57277,Plantaginaceae,Veronica,Veronica americana
8603140,10/29/17,2017-10-29 17:03:51 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603140,https://inaturalist-open-data.s3.amazonaws.com/photos/11503837/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89681562,-122.2496497,7,,,Contra Costa,Pacific Willow,Salix lasiandra,Pacific Willow,Plantae,78943,Salicaceae,Salix,Salix lasiandra
8603223,10/29/17,2017-10-29 17:13:28 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603223,https://inaturalist-open-data.s3.amazonaws.com/photos/11504079/medium.jpeg,No odor,2,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89532965,-122.248255,9,,,Contra Costa,scarlet monkeyflower,Erythranthe cardinalis,scarlet monkeyflower,Plantae,319974,Phrymaceae,Erythranthe,Erythranthe cardinalis
8603321,10/29/17,2017-10-29 17:31:48 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603321,https://inaturalist-open-data.s3.amazonaws.com/photos/11504187/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89526814,-122.2482968,9,,,Contra Costa,Common Snowberry,Symphoricarpos albus,Common Snowberry,Plantae,48523,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus
8603327,10/29/17,2017-10-29 17:33:47 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603327,https://inaturalist-open-data.s3.amazonaws.com/photos/11504213/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89526451,-122.2484317,9,,,Contra Costa,Crevice Alumroot,Heuchera micrantha,crevice alumroot,Plantae,51274,Saxifragaceae,Heuchera,Heuchera micrantha
8603354,10/29/17,2017-10-29 17:36:57 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603354,https://inaturalist-open-data.s3.amazonaws.com/photos/11504260/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89518831,-122.2488664,22,,,Contra Costa,Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080,Anacardiaceae,Toxicodendron,Toxicodendron diversilobum
8603365,10/29/17,2017-10-29 17:38:16 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603365,https://inaturalist-open-data.s3.amazonaws.com/photos/11504276/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89487144,-122.2496767,9,,,Contra Costa,Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317,Rosaceae,Rubus,Rubus armeniacus
8603407,10/29/17,2017-10-29 17:56:17 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603407,https://inaturalist-open-data.s3.amazonaws.com/photos/11504324/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89505074,-122.2507373,9,,,Contra Costa,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,Cornaceae,Cornus,Cornus sericea
8603411,10/29/17,2017-10-29 18:39:29 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603411,https://static.inaturalist.org/photos/11504339/medium.jpeg,,1,0,FALSE,"Lake Anza Trail, Berkeley, CA 94708, USA",37.89511108,-122.2502213,,,,Contra Costa,snowberry,Symphoricarpos albus laevigatus,garden snowberry,Plantae,48525,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus
8603412,10/29/17,2017-10-29 17:58:08 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603412,https://inaturalist-open-data.s3.amazonaws.com/photos/11504342/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89508371,-122.2509217,9,,,Contra Costa,California hazelnut,Corylus cornuta californica,California hazelnut,Plantae,53368,Betulaceae,Corylus,Corylus cornuta
8603420,10/29/17,2017-10-29 18:05:46 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603420,https://inaturalist-open-data.s3.amazonaws.com/photos/11504359/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89483787,-122.2515669,9,,,Contra Costa,Greater plantain,Plantago major,greater plantain,Plantae,58961,Plantaginaceae,Plantago,Plantago major
8603431,10/29/17,2017-10-29 18:24:45 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603431,https://inaturalist-open-data.s3.amazonaws.com/photos/11504384/medium.jpeg,,1,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89845546,-122.2520329,7,,,Contra Costa,California hazelnut,Corylus cornuta californica,California hazelnut,Plantae,53368,Betulaceae,Corylus,Corylus cornuta
8603480,10/29/17,2017-10-29 18:28:42 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603480,https://static.inaturalist.org/photos/11504445/medium.jpeg,,3,0,FALSE,"Tilden Regional Park, Contra Costa County, US-CA, US",37.89515305,-122.2455978,,,,Contra Costa,common selfheal,Prunella vulgaris,common selfheal,Plantae,52764,Lamiaceae,Prunella,Prunella vulgaris
8603578,10/29/17,2017-10-29 17:24:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603578,https://inaturalist-open-data.s3.amazonaws.com/photos/11504477/medium.jpeg,,2,0,FALSE,"Contra Costa County, CA, USA",37.89524333,-122.2488517,,,,Contra Costa,Italian thistle,Carduus pycnocephalus,Italian thistle,Plantae,52990,Asteraceae,Carduus,Carduus pycnocephalus
8603586,10/29/17,2017-10-29 17:39:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603586,https://inaturalist-open-data.s3.amazonaws.com/photos/11504507/medium.jpeg,,1,0,FALSE,"Contra Costa County, CA, USA",37.89550333,-122.2506117,,,,Contra Costa,French Broom,Genista monspessulana,French broom,Plantae,53403,Fabaceae,Genista,Genista monspessulana
8603587,10/29/17,2017-10-29 17:43:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603587,https://inaturalist-open-data.s3.amazonaws.com/photos/11504512/medium.jpeg,,1,0,FALSE,"Contra Costa County, CA, USA",37.89505167,-122.25159,,,,Contra Costa,curly dock,Rumex crispus,curled dock,Plantae,53197,Polygonaceae,Rumex,Rumex crispus
8603589,10/29/17,2017-10-29 17:44:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603589,https://inaturalist-open-data.s3.amazonaws.com/photos/11504517/medium.jpeg,,2,0,FALSE,"Contra Costa County, CA, USA",37.89514,-122.2515233,,,,Contra Costa,bristly oxtongue,Helminthotheca echioides,bristly oxtongue,Plantae,61906,Asteraceae,Helminthotheca,Helminthotheca echioides
8603590,10/29/17,2017-10-29 17:44:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603590,https://inaturalist-open-data.s3.amazonaws.com/photos/11504521/medium.jpeg,,1,0,FALSE,"Contra Costa County, CA, USA",37.89543833,-122.25164,,,,Contra Costa,Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317,Rosaceae,Rubus,Rubus armeniacus
8603591,10/29/17,2017-10-29 17:45:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603591,https://inaturalist-open-data.s3.amazonaws.com/photos/11504529/medium.jpeg,,2,0,FALSE,"Contra Costa County, CA, USA",37.89543833,-122.25164,,,,Contra Costa,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
8603592,10/29/17,2017-10-29 17:45:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603592,https://inaturalist-open-data.s3.amazonaws.com/photos/11504533/medium.jpeg,,1,0,FALSE,"Contra Costa County, CA, USA",37.89543833,-122.25164,,,,Contra Costa,Coast Live Oak,Quercus agrifolia,coast live oak,Plantae,47850,Fagaceae,Quercus,Quercus agrifolia
8603659,10/29/17,2017-10-29 17:01:38 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8603659,https://inaturalist-open-data.s3.amazonaws.com/photos/11504800/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Berkeley, CA, US",37.89798,-122.2516033,,,,Contra Costa,trailing blackberry,Rubus ursinus,trailing blackberry,Plantae,53445,Rosaceae,Rubus,Rubus ursinus
8604071,10/29/17,2017-10-29 17:02:02 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8604071,https://inaturalist-open-data.s3.amazonaws.com/photos/11505540/medium.jpeg,,1,0,FALSE,"Lake Anza Trail, Berkeley, CA 94708, USA",37.89704895,-122.25,,,,Contra Costa,Coast Live Oak,Quercus agrifolia,coast live oak,Plantae,47850,Fagaceae,Quercus,Quercus agrifolia
8605450,10/29/17,2017-10-29 18:40:56 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8605450,https://inaturalist-open-data.s3.amazonaws.com/photos/11507953/medium.jpeg,,1,0,FALSE,"Meadows Canyon Trail, Berkeley, CA 94708, USA",37.904244,-122.2520951,1399,,,Contra Costa,Broad-leaved Helleborine,Epipactis helleborine,Broad-leafed Helleborine,Plantae,50717,Orchidaceae,Epipactis,Epipactis helleborine
8606927,10/29/17,2017-10-29 16:00:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8606927,https://inaturalist-open-data.s3.amazonaws.com/photos/11509988/medium.jpeg,,2,0,FALSE,"Contra Costa County, CA, USA",37.89735333,-122.250395,,,,Contra Costa,American brooklime,Veronica americana,American brooklime,Plantae,57277,Plantaginaceae,Veronica,Veronica americana
8606929,10/29/17,2017-10-29 16:02:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8606929,https://inaturalist-open-data.s3.amazonaws.com/photos/11509998/medium.jpeg,,1,0,FALSE,"Contra Costa County, CA, USA",37.89728333,-122.2505217,,,,Contra Costa,Ribwort Plantain,Plantago lanceolata,ribwort plantain,Plantae,53178,Plantaginaceae,Plantago,Plantago lanceolata
