id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
2017450,9/30/15,2015-09-30 23:46:09 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2017450,https://inaturalist-open-data.s3.amazonaws.com/photos/2457752/medium.,,1,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.76757889,-122.1112321,6,,,Alameda,Stinkwort,Dittrichia graveolens,Stinkwort,Plantae,58822,Asteraceae,Dittrichia,Dittrichia graveolens
2017451,9/30/15,2015-09-30 23:47:12 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2017451,https://inaturalist-open-data.s3.amazonaws.com/photos/2457753/medium.,,1,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.76759956,-122.1112123,8,,,Alameda,California coffee berry,Frangula californica,coffeeberry,Plantae,53423,Rhamnaceae,Frangula,Frangula californica
2017452,9/30/15,2015-09-30 23:48:17 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2017452,https://inaturalist-open-data.s3.amazonaws.com/photos/2457754/medium.,,1,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.76729541,-122.1112498,8,,,Alameda,Coyote Brush,Baccharis pilularis,coyote brush,Plantae,53359,Asteraceae,Baccharis,Baccharis pilularis
2196485,10/18/15,2015-10-18 21:02:12 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2196485,https://inaturalist-open-data.s3.amazonaws.com/photos/2542098/medium.jpeg,,3,0,FALSE,,37.71874625,-122.1067739,10,,Castro Valley,Alameda,Rosilla,Helenium puberulum,Rosilla,Plantae,53092,Asteraceae,Helenium,Helenium puberulum
2196487,10/18/15,2015-10-18 21:02:46 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2196487,https://inaturalist-open-data.s3.amazonaws.com/photos/2542103/medium.jpeg,,2,0,FALSE,,37.71865321,-122.106744,9,,Castro Valley,Alameda,stinkwort,Dittrichia graveolens,Stinkwort,Plantae,58822,Asteraceae,Dittrichia,Dittrichia graveolens
2196491,10/18/15,2015-10-18 22:32:31 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2196491,https://inaturalist-open-data.s3.amazonaws.com/photos/2542116/medium.jpeg,,2,0,FALSE,,37.72841791,-122.0962149,7,,,Alameda,Pennyroyal,Mentha pulegium,Pennyroyal,Plantae,57116,Lamiaceae,Mentha,Mentha pulegium
2196492,10/18/15,2015-10-18 22:34:21 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2196492,https://inaturalist-open-data.s3.amazonaws.com/photos/2542119/medium.jpeg,,3,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.72854665,-122.0961025,15,,,Alameda,Bristly Ox-Tongue,Helminthotheca echioides,bristly oxtongue,Plantae,61906,Asteraceae,Helminthotheca,Helminthotheca echioides
2490193,12/19/15,2015-12-19 21:24:32 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2490193,http://static.inaturalist.org/photos/2793049/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.79564667,-122.1471333,,,,Alameda,wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,Asparagaceae,Chlorogalum,Chlorogalum pomeridianum
2610900,1/23/16,2016-01-23 20:44:28 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2610900,https://inaturalist-open-data.s3.amazonaws.com/photos/2918598/medium.jpg,,2,0,FALSE,,37.79760897,-122.1542632,5,,,Alameda,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
2610903,1/23/16,2016-01-23 21:27:54 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2610903,https://inaturalist-open-data.s3.amazonaws.com/photos/2918607/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.79833317,-122.1471567,5,,,Alameda,Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507,Ericaceae,Arctostaphylos,Arctostaphylos crustacea
2610905,1/23/16,2016-01-23 21:29:23 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2610905,https://inaturalist-open-data.s3.amazonaws.com/photos/2918609/medium.jpg,"Was surprised to find this here. Only a few plants, maybe just a relict population.",1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.79833317,-122.1471567,5,,,Alameda,chamise,Adenostoma fasciculatum,chamise,Plantae,47146,Rosaceae,Adenostoma,Adenostoma fasciculatum
2610907,1/23/16,2016-01-23 21:30:29 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2610907,https://inaturalist-open-data.s3.amazonaws.com/photos/2918614/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.79839427,-122.1471672,5,,,Alameda,California Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349,Ericaceae,Vaccinium,Vaccinium ovatum
2610909,1/23/16,2016-01-23 21:31:02 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2610909,https://inaturalist-open-data.s3.amazonaws.com/photos/2918615/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.79854724,-122.1470867,5,,,Alameda,Coffeeberry,Frangula californica,coffeeberry,Plantae,53423,Rhamnaceae,Frangula,Frangula californica
2610910,1/23/16,2016-01-23 21:32:02 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2610910,https://inaturalist-open-data.s3.amazonaws.com/photos/2918618/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.79851309,-122.1470683,5,,,Alameda,Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046,Ericaceae,Arbutus,Arbutus menziesii
2774856,3/12/16,2016-03-12 22:47:13 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2774856,http://static.inaturalist.org/photos/3143034/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.75348333,-122.1181195,,,Oakland,Alameda,Giant Wakerobin,Trillium chloropetalum,giant wakerobin,Plantae,50823,Melanthiaceae,Trillium,Trillium chloropetalum
2827378,3/20/16,2016-03-20 17:02:46 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2827378,http://static.inaturalist.org/photos/3218367/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.76371667,-122.1143638,,,,Alameda,Coast Indian Paintbrush,Castilleja affinis,Coast Paintbrush,Plantae,50042,Orobanchaceae,Castilleja,Castilleja affinis
2827379,3/20/16,2016-03-20 16:31:52 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2827379,http://static.inaturalist.org/photos/3218371/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.765475,-122.1106945,,,,Alameda,sun cup,Taraxia ovata,Sun Cup,Plantae,68182,Onagraceae,Taraxia,Taraxia ovata
2813612,3/21/16,2016-03-21 18:42:32 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2813612,http://static.inaturalist.org/photos/3198465/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, San Leandro, CA, US",37.71637833,-122.1121833,,,Castro Valley,Alameda,sun cup,Taraxia ovata,Sun Cup,Plantae,68182,Onagraceae,Taraxia,Taraxia ovata
2813615,3/21/16,2016-03-21 18:51:11 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2813615,http://static.inaturalist.org/photos/3198470/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, San Leandro, CA, US",37.71769667,-122.1118472,,,Castro Valley,Alameda,narrowleaf mule-ears,Wyethia angustifolia,narrowleaf mule-ears,Plantae,56987,Asteraceae,Wyethia,Wyethia angustifolia
2813616,3/21/16,2016-03-21 18:57:26 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2813616,http://static.inaturalist.org/photos/3198474/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, San Leandro, CA, US",37.71973333,-122.1122888,,,Castro Valley,Alameda,Purple Sanicle,Sanicula bipinnatifida,Purple Sanicle,Plantae,56840,Apiaceae,Sanicula,Sanicula bipinnatifida
2813618,3/21/16,2016-03-21 18:59:45 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2813618,http://static.inaturalist.org/photos/3198477/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, San Leandro, CA, US",37.72025333,-122.1123805,,,Castro Valley,Alameda,Foothill desert-parsley,Lomatium utriculatum,Foothill desert-parsley,Plantae,56827,Apiaceae,Lomatium,Lomatium utriculatum
2813620,3/21/16,2016-03-21 19:00:08 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2813620,http://static.inaturalist.org/photos/3198478/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, San Leandro, CA, US",37.72027167,-122.1123888,,,Castro Valley,Alameda,Wavy-leafed Soap Plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,Asparagaceae,Chlorogalum,Chlorogalum pomeridianum
2905030,3/26/16,2016-03-26 22:36:43 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2905030,http://static.inaturalist.org/photos/3323222/medium.jpg,,1,0,FALSE,"Anthony Chabot Regional Park, Castro Valley, CA, US",37.78526667,-122.1321112,,,,Alameda,California Poppy,Eschscholzia californica,California poppy,Plantae,48225,Papaveraceae,Eschscholzia,Eschscholzia californica
2844769,3/27/16,2016-03-27 21:07:58 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2844769,http://static.inaturalist.org/photos/3243026/medium.jpeg,,1,0,FALSE,"Castro Valley, CA",37.72740677,-122.0950056,1376,,Castro Valley,Alameda,sun cup,Taraxia ovata,Sun Cup,Plantae,68182,Onagraceae,Taraxia,Taraxia ovata
7127524,4/2/16,2016-04-02 10:05:19 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/7127524,https://static.inaturalist.org/photos/9170945/medium.jpg,,2,0,FALSE,"Anthony Chabot Regional Park, Oakland, CA, US",37.79055253,-122.1424167,574,,,Alameda,California poppy,Eschscholzia californica,California poppy,Plantae,48225,Papaveraceae,Eschscholzia,Eschscholzia californica
2936896,4/4/16,2016-04-04 20:45:44 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2936896,https://inaturalist-open-data.s3.amazonaws.com/photos/3366384/medium.jpeg,,3,0,FALSE,"2821 Harrison St Oakland, CA 94611",37.79327393,-122.1424942,,,,Alameda,Redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
2941547,4/15/16,2016-04-15 19:03:33 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2941547,http://static.inaturalist.org/photos/3372666/medium.jpeg,,2,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.79824851,-122.1528065,12,,,Alameda,Bigleaf Maple,Acer macrophyllum,bigleaf maple,Plantae,48227,Sapindaceae,Acer,Acer macrophyllum
2941553,4/15/16,2016-04-15 19:09:13 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2941553,http://static.inaturalist.org/photos/3372673/medium.jpeg,,1,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.79810099,-122.1524887,30,,,Alameda,European holly,Ilex aquifolium,European holly,Plantae,53856,Aquifoliaceae,Ilex,Ilex aquifolium
2941555,4/15/16,2016-04-15 19:11:15 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2941555,http://static.inaturalist.org/photos/3372674/medium.jpeg,,2,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.79811694,-122.1522442,20,,,Alameda,Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080,Anacardiaceae,Toxicodendron,Toxicodendron diversilobum
2941562,4/15/16,2016-04-15 19:18:55 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2941562,http://static.inaturalist.org/photos/3372688/medium.jpeg,,2,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.79785471,-122.1512295,6,,,Alameda,greater periwinkle,Vinca major,greater periwinkle,Plantae,53326,Apocynaceae,Vinca,Vinca major
2941568,4/15/16,2016-04-15 19:34:18 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2941568,http://static.inaturalist.org/photos/3372704/medium.jpeg,,2,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.79798002,-122.1524488,15,,,Alameda,California buckeye,Aesculus californica,California buckeye,Plantae,53348,Sapindaceae,Aesculus,Aesculus californica
2941569,4/15/16,2016-04-15 19:40:58 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2941569,http://static.inaturalist.org/photos/3374441/medium.jpeg,,2,0,FALSE,"Anthony Chabot Regional Park, Alameda County, US-CA, US",37.79862125,-122.1534044,9,,,Alameda,Pale pink-sorrel,Oxalis incarnata,Pale pink-sorrel,Plantae,61776,Oxalidaceae,Oxalis,Oxalis incarnata
