id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
2684261,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684261,http://static.inaturalist.org/photos/3017868/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950533,-121.867905,795,,,,Contra Costa,Miner's Lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994,Montiaceae,Claytonia,Claytonia perfoliata
2684271,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684271,http://static.inaturalist.org/photos/3017890/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950533,-121.867905,795,,,,Contra Costa,California Bee Plant,Scrophularia californica,California beeplant,Plantae,50812,Scrophulariaceae,Scrophularia,Scrophularia californica
2684277,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684277,http://static.inaturalist.org/photos/3017899/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950533,-121.867905,795,,,,Contra Costa,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Sapindaceae,Aesculus,Aesculus californica
2684509,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684509,http://static.inaturalist.org/photos/3018239/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Oak mistletoe,Phoradendron villosum,oak mistletoe,Plantae,343310,Santalaceae,Phoradendron,Phoradendron villosum
2684511,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684511,http://static.inaturalist.org/photos/3018244/medium.jpg,,3,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Indian Warrior,Pedicularis densiflora,Warrior's Plume,Plantae,49645,Orobanchaceae,Pedicularis,Pedicularis densiflora
2684522,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684522,http://static.inaturalist.org/photos/3018253/medium.jpg,Abundant.,1,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Henderson's shooting star (Dodecatheon hendersonii),Primula hendersonii,Henderson's shooting star,Plantae,487175,Primulaceae,Primula,Primula hendersonii
2684525,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684525,http://static.inaturalist.org/photos/3018270/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Turkey pea,Sanicula tuberosa,Tuberous Sanicle,Plantae,56842,Apiaceae,Sanicula,Sanicula tuberosa
2684530,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684530,http://static.inaturalist.org/photos/3018272/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Western Hoptree,Ptelea crenulata,Western Hoptree,Plantae,50622,Rutaceae,Ptelea,Ptelea crenulata
2684531,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684531,http://static.inaturalist.org/photos/3018273/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,California manroot,Marah fabacea,California manroot,Plantae,205330,Cucurbitaceae,Marah,Marah fabacea
2684538,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684538,http://static.inaturalist.org/photos/3018291/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Dipterostemon capitatus,Dipterostemon capitatus,Blue Dicks,Plantae,1196784,Asparagaceae,Dipterostemon,Dipterostemon capitatus
