id,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
8305907,Sat Oct 07 2017 14:48:09 GMT-0700 (PDT),10/7/17,2017-10-07 21:48:09 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8305907,https://inaturalist-open-data.s3.amazonaws.com/photos/11026042/medium.jpg,"A giant. 17'-4"" circumference. ",1,0,FALSE,"Briones Regional Park, Lafayette, CA, US",37.93106167,-122.1340417,,,,Contra Costa,Oracle Oak,Quercus × morehus,Oracle Oak,Plantae,171031,Quercus,
8341388,2017-10-07 1:19:18 PM PDT,10/7/17,2017-10-07 20:19:18 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341388,https://inaturalist-open-data.s3.amazonaws.com/photos/11085932/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.92788945,-122.1512197,9,,,Contra Costa,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,Cornus,Cornus sericea
8341391,2017-10-07 1:25:11 PM PDT,10/7/17,2017-10-07 20:25:11 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341391,https://inaturalist-open-data.s3.amazonaws.com/photos/11085937/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.92697441,-122.149821,6,,,Contra Costa,coyote brush,Baccharis pilularis,coyote brush,Plantae,53359,Baccharis,Baccharis pilularis
8341407,2017-10-07 1:39:40 PM PDT,10/7/17,2017-10-07 20:39:40 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341407,https://inaturalist-open-data.s3.amazonaws.com/photos/11085952/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.92839733,-122.1449353,5,,,Contra Costa,marsh baccharis,Baccharis glutinosa,marsh baccharis,Plantae,75727,Baccharis,Baccharis glutinosa
8341408,2017-10-07 1:45:30 PM PDT,10/7/17,2017-10-07 20:45:30 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341408,https://inaturalist-open-data.s3.amazonaws.com/photos/11085955/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.92824131,-122.1449355,10,,,Contra Costa,California Bay,Umbellularia californica,California bay,Plantae,48807,Umbellularia,Umbellularia californica
8341413,2017-10-07 2:11:33 PM PDT,10/7/17,2017-10-07 21:11:33 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341413,https://inaturalist-open-data.s3.amazonaws.com/photos/11085962/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.93137912,-122.1408467,25,,,Contra Costa,Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080,Toxicodendron,Toxicodendron diversilobum
8341415,2017-10-07 2:24:37 PM PDT,10/7/17,2017-10-07 21:24:37 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341415,https://inaturalist-open-data.s3.amazonaws.com/photos/11085964/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.93118058,-122.1385155,4,,,Contra Costa,California black oak,Quercus kelloggii,California black oak,Plantae,49919,Quercus,Quercus kelloggii
8341429,2017-10-07 2:40:54 PM PDT,10/7/17,2017-10-07 21:40:54 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341429,https://inaturalist-open-data.s3.amazonaws.com/photos/11085981/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.93098855,-122.1352313,10,,,Contra Costa,California hazelnut,Corylus cornuta californica,California hazelnut,Plantae,53368,Corylus,Corylus cornuta
8341430,2017-10-07 2:48:03 PM PDT,10/7/17,2017-10-07 21:48:03 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341430,https://inaturalist-open-data.s3.amazonaws.com/photos/11085986/medium.jpeg,Largest Oracle oak in the world,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.93152524,-122.1341462,8,,,Contra Costa,Oracle Oak,Quercus × morehus,Oracle Oak,Plantae,171031,Quercus,
8341444,2017-10-07 4:23:49 PM PDT,10/7/17,2017-10-07 23:23:49 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341444,https://inaturalist-open-data.s3.amazonaws.com/photos/11086016/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.93468024,-122.1454056,7,,,Contra Costa,spiny cocklebur,Xanthium spinosum,spiny cocklebur,Plantae,58045,Xanthium,Xanthium spinosum
8341446,2017-10-07 4:27:18 PM PDT,10/7/17,2017-10-07 23:27:18 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341446,https://inaturalist-open-data.s3.amazonaws.com/photos/11086028/medium.jpeg,,2,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.93432669,-122.1468881,8,,,Contra Costa,milk thistle,Silybum marianum,milk thistle,Plantae,52586,Silybum,Silybum marianum
8341450,2017-10-07 4:30:41 PM PDT,10/7/17,2017-10-07 23:30:41 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341450,https://inaturalist-open-data.s3.amazonaws.com/photos/11086029/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.9340767,-122.1477032,13,,,Contra Costa,Coast Live Oak,Quercus agrifolia,coast live oak,Plantae,47850,Quercus,Quercus agrifolia
8341456,2017-10-07 4:47:56 PM PDT,10/7/17,2017-10-07 23:47:56 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8341456,https://inaturalist-open-data.s3.amazonaws.com/photos/11086038/medium.jpeg,,1,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.92814201,-122.1536406,9,,,Contra Costa,Spanish clover,Acmispon americanus,Spanish clover,Plantae,57049,Acmispon,Acmispon americanus
8343058,2017/10/07 12:41 PM HST,10/7/17,2017-10-07 22:41:00 UTC,Hawaii,research,https://www.inaturalist.org/observations/8343058,https://inaturalist-open-data.s3.amazonaws.com/photos/11088243/medium.jpeg,,1,0,FALSE,"Contra Costa County, CA, USA",37.93044222,-122.1442108,488,,,Contra Costa,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Aesculus,Aesculus californica
8318800,Sun Oct 08 2017 13:44:57 GMT-0700 (PDT),10/8/17,2017-10-08 20:44:57 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8318800,https://static.inaturalist.org/photos/11047406/medium.jpg,,2,0,FALSE,"Briones Regional Park, Contra Costa County, US-CA, US",37.92810045,-122.1528384,5,,,Contra Costa,Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Lonicera,Lonicera hispidula
8510791,Sun Oct 22 2017 13:16:53 GMT-0700 (PDT),10/22/17,2017-10-22 20:16:53 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8510791,https://inaturalist-open-data.s3.amazonaws.com/photos/11358485/medium.jpg,,1,0,FALSE,"Briones Regional Park, Martinez, CA, US",37.94607167,-122.1426167,,,,Contra Costa,Common Madia,Madia elegans,Common Madia,Plantae,56974,Madia,Madia elegans
8510810,Sun Oct 22 2017 13:01:00 GMT-0700 (PDT),10/22/17,2017-10-22 20:01:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8510810,https://inaturalist-open-data.s3.amazonaws.com/photos/11358520/medium.jpg,,1,0,FALSE,"Briones Regional Park, Martinez, CA, US",37.945625,-122.1414417,0,,,Contra Costa,swamp smartweed,Persicaria hydropiperoides,swamp smartweed,Plantae,78453,Persicaria,Persicaria hydropiperoides
8512661,2017-10-22 5:01:39 PM PDT,10/22/17,2017-10-23 00:01:39 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8512661,https://static.inaturalist.org/photos/11372145/medium.jpeg,,1,0,FALSE,"Bear Creek Trail, Martinez, CA 94553, USA",37.92662344,-122.1571375,6,,,Contra Costa,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Aesculus,Aesculus californica
8513621,Sun Oct 22 2017 14:47:09 GMT-0700 (PDT),10/22/17,2017-10-22 21:47:09 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8513621,https://inaturalist-open-data.s3.amazonaws.com/photos/11363383/medium.jpeg,The California Native is no more Spectacular than it is this time of year...,1,0,FALSE,"Briones Regional Park, Martinez, CA, US",37.95101167,-122.13675,0,,,Contra Costa,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Heteromeles,Heteromeles arbutifolia
8513706,Sun Oct 22 2017 14:47:09 GMT-0700 (PDT),10/22/17,2017-10-22 21:47:09 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8513706,https://inaturalist-open-data.s3.amazonaws.com/photos/11363513/medium.jpeg,I learned from @catchang today that Blue Oaks might actually hold more gall variations...,1,0,FALSE,"Briones Regional Park, Martinez, CA, US",37.95101167,-122.13675,0,,,Contra Costa,blue oak,Quercus douglasii,blue oak,Plantae,49009,Quercus,Quercus douglasii
