id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
2839976,2016-03-27,2016-03-27 20:55:43 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2839976,https://inaturalist-open-data.s3.amazonaws.com/photos/3236904/medium.jpg,,1,0,false,"Joseph D Grant County Park, Mount Hamilton, CA, US",37.3374716667,-121.7130666667,,,,Santa Clara,Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918,Iridaceae,Sisyrinchium,Sisyrinchium bellum
3053166,2016-04-28,2016-04-28 15:54:55 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3053166,https://inaturalist-open-data.s3.amazonaws.com/photos/3516945/medium.jpg,"",2,0,false,"Joseph D. Grant County Park, Santa Clara, California, United States",37.3477083333,-121.7171966667,,,,Santa Clara,Purple Owl's Clover,Castilleja exserta,purple owl's-clover,Plantae,49343,Orobanchaceae,Castilleja,Castilleja exserta
3053167,2016-04-28,2016-04-28 15:57:08 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3053167,https://inaturalist-open-data.s3.amazonaws.com/photos/3516946/medium.jpg,"",2,0,false,"Joseph D. Grant County Park, Santa Clara, California, United States",37.3470383333,-121.7187716667,,,,Santa Clara,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Asteraceae,Achyrachaena,Achyrachaena mollis
3053433,2016-04-28,2016-04-28 15:59:55 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3053433,https://inaturalist-open-data.s3.amazonaws.com/photos/3517320/medium.jpg,"",1,0,false,"Joseph D. Grant County Park, Santa Clara, California, United States",37.3470383333,-121.7187716667,,,,Santa Clara,Miniature Lupine,Lupinus bicolor,Miniature Lupine,Plantae,50614,Fabaceae,Lupinus,Lupinus bicolor
3062080,2016-04-28,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3062080,https://inaturalist-open-data.s3.amazonaws.com/photos/3527725/medium.JPG,"",2,0,false,"Mount Hamilton Road, CA",37.331675,-121.680451,1689,,,Santa Clara,Purple Chinese Houses,Collinsia heterophylla,Purple Chinese Houses,Plantae,47325,Plantaginaceae,Collinsia,Collinsia heterophylla
3062082,2016-04-28,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3062082,https://inaturalist-open-data.s3.amazonaws.com/photos/3527726/medium.jpg,"",1,0,false,"Mount Hamilton Road, CA",37.331675,-121.680451,1689,,,Santa Clara,windpoppy,Papaver heterophyllum,wind poppy,Plantae,78344,Papaveraceae,Papaver,Papaver heterophyllum
3320000,2016-05-27,2016-05-27 23:50:34 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3320000,https://inaturalist-open-data.s3.amazonaws.com/photos/3835439/medium.jpg,,3,0,false,"Joseph D Grant County Park, Mount Hamilton, CA, US",37.3568883333,-121.7269833333,,,,Santa Clara,Ithuriel's Spear,Triteleia laxa,Ithuriel's Spear,Plantae,51085,Asparagaceae,Triteleia,Triteleia laxa
3325435,2016-05-26,2016-05-26 21:20:44 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3325435,https://inaturalist-open-data.s3.amazonaws.com/photos/3841443/medium.jpg,,1,0,false,"Joseph D Grant County Park, San Jose, CA, US",37.3250351491,-121.7153497039,243,,,Santa Clara,Purple Chinese Houses,Collinsia heterophylla,Purple Chinese Houses,Plantae,47325,Plantaginaceae,Collinsia,Collinsia heterophylla
3663749,2016-03-20,2016-03-20 21:05:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3663749,https://inaturalist-open-data.s3.amazonaws.com/photos/4242465/medium.jpg,,1,0,false,"Santa Clara County, CA, USA",37.3467396595,-121.7174434662,31,,,Santa Clara,Common Dandelion,Taraxacum officinale,common dandelion,Plantae,47602,Asteraceae,Taraxacum,Taraxacum officinale
3971569,2016-08-26,2016-08-26 17:20:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3971569,https://inaturalist-open-data.s3.amazonaws.com/photos/4682757/medium.jpeg,        ,2,0,false,Santa Clara Co. CA,37.3429486195,-121.7135846613,231,,,Santa Clara,Vinegar Weed,Trichostema lanceolatum,Vinegar Weed,Plantae,54875,Lamiaceae,Trichostema,Trichostema lanceolatum
3971570,2016-08-26,2016-08-26 17:29:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3971570,https://inaturalist-open-data.s3.amazonaws.com/photos/4682758/medium.jpeg,        ,2,0,false,Santa Clara Co. CA,37.3429486195,-121.7135846613,231,,,Santa Clara,Hayfield Tarweed,Hemizonia congesta,Hayfield Tarweed,Plantae,56960,Asteraceae,Hemizonia,Hemizonia congesta
3971571,2016-08-26,2016-08-26 17:41:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3971571,https://inaturalist-open-data.s3.amazonaws.com/photos/4682762/medium.jpeg,        ,1,0,false,Santa Clara Co. CA,37.3429486195,-121.7135846613,231,,,Santa Clara,Pennyroyal,Mentha pulegium,Pennyroyal,Plantae,57116,Lamiaceae,Mentha,Mentha pulegium
3971576,2016-08-26,2016-08-26 19:01:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3971576,https://inaturalist-open-data.s3.amazonaws.com/photos/4682778/medium.jpeg,        ,2,0,false,Santa Clara Co. CA,37.3429486195,-121.7135846613,231,,,Santa Clara,Pitgland tarweed,Holocarpha virgata,Pit-gland Tarweed,Plantae,53099,Asteraceae,Holocarpha,Holocarpha virgata
4205636,2016-08-28,2016-08-28 19:00:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4205636,https://inaturalist-open-data.s3.amazonaws.com/photos/5014129/medium.jpg,Unripe berriess and the rest of the plant are toxic to eat.  Native to California.,4,0,false,"Santa Clara County, CA, USA",37.3347665412,-121.7180868524,2,,,Santa Clara,blue elder,Sambucus cerulea,blue elder,Plantae,143799,Viburnaceae,Sambucus,Sambucus cerulea
4295445,2016-08-28,2016-08-28 20:06:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4295445,https://inaturalist-open-data.s3.amazonaws.com/photos/5152360/medium.jpg,"invasive to California and elsewhere.  Native to Europe, Asia, and Africa.",1,0,false,"Evergreen, San Jose, CA, USA",37.3258060904,-121.7267560959,61,,,Santa Clara,Prickly Lettuce,Lactuca serriola,prickly lettuce,Plantae,53107,Asteraceae,Lactuca,Lactuca serriola
4652598,2016-03-20,2016-03-20 17:25:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4652598,https://inaturalist-open-data.s3.amazonaws.com/photos/5631629/medium.jpg,Native to California.,1,0,false,"Santa Clara County, CA, USA",37.3423000807,-121.7123687267,8,,,Santa Clara,California Golden Violet,Viola pedunculata,California Golden Violet,Plantae,50825,Violaceae,Viola,Viola pedunculata
4658587,2016-03-20,2016-03-20 17:01:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4658587,https://inaturalist-open-data.s3.amazonaws.com/photos/5639630/medium.jpg,"Introduced to California and North America, native to North East Asia.",2,0,false,"Santa Clara County, CA, USA",37.3426967108,-121.7160701752,15,,,Santa Clara,Pineapple Weed,Matricaria discoidea,pineapple-weed,Plantae,52992,Asteraceae,Matricaria,Matricaria discoidea
4658588,2016-03-20,2016-03-20 17:09:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4658588,https://inaturalist-open-data.s3.amazonaws.com/photos/5639631/medium.jpg,Native to California.,1,0,false,"Santa Clara County, CA, USA",37.3431828997,-121.7150509357,15,,,Santa Clara,California Poppy,Eschscholzia californica,California poppy,Plantae,48225,Papaveraceae,Eschscholzia,Eschscholzia californica
4998581,2017-01-18,2017-01-18 20:18:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/4998581,https://inaturalist-open-data.s3.amazonaws.com/photos/6109828/medium.jpg,,1,0,false,"Joseph D. Grant County Park, Santa Clara, California, United States",37.3290361111,-121.6770555556,,,,Santa Clara,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Sapindaceae,Aesculus,Aesculus californica
5291286,2016-08-28,2016-08-28 19:11:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/5291286,https://inaturalist-open-data.s3.amazonaws.com/photos/6546232/medium.jpg,Native to California.,0,0,false,"Santa Clara County, CA, USA",37.3345760375,-121.7213273048,31,,,Santa Clara,orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371,Phrymaceae,Diplacus,Diplacus aurantiacus
