id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
2685967,2/15/16,2016-02-15 23:35:57 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2685967,https://inaturalist-open-data.s3.amazonaws.com/photos/3021672/medium.jpg,,6,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa County, CA, USA",37.81601443,-122.0448524,19,,,Contra Costa,California Dutchman's Pipe,Aristolochia californica,California Dutchman's Pipe,Plantae,55190,Aristolochiaceae,Aristolochia,Aristolochia californica
2685968,2/15/16,2016-02-15 23:54:21 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2685968,https://inaturalist-open-data.s3.amazonaws.com/photos/3019841/medium.jpeg,,2,0,FALSE,"San Ramon, CA 94583",37.8085646,-122.0457845,36,,,Contra Costa,Buckbrush,Ceanothus cuneatus,Buckbrush,Plantae,49673,Rhamnaceae,Ceanothus,Ceanothus cuneatus
2686754,2/15/16,2016-02-16 01:00:17 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686754,https://inaturalist-open-data.s3.amazonaws.com/photos/3020750/medium.jpeg,,2,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa County, CA, USA",37.82390865,-122.0516347,4,,,Contra Costa,Curnow's Curse,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
2686756,2/15/16,2016-02-16 01:14:35 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686756,https://inaturalist-open-data.s3.amazonaws.com/photos/3020778/medium.jpeg,,3,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa County, CA, USA",37.82540513,-122.0549757,3,,,Contra Costa,Indian Warrior,Pedicularis densiflora,Warrior's Plume,Plantae,49645,Orobanchaceae,Pedicularis,Pedicularis densiflora
2686757,2/15/16,2016-02-16 01:18:08 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686757,https://inaturalist-open-data.s3.amazonaws.com/photos/3020833/medium.jpeg,,4,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa County, CA, USA",37.82535112,-122.055374,5,,,Contra Costa,milkmaids,Cardamine californica,milkmaids,Plantae,49651,Brassicaceae,Cardamine,Cardamine californica
2686758,2/15/16,2016-02-16 01:19:32 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686758,https://inaturalist-open-data.s3.amazonaws.com/photos/3020920/medium.jpeg,,2,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa County, CA, USA",37.82547098,-122.0560517,7,,,Contra Costa,California saxifrage,Micranthes californica,California Saxifrage,Plantae,78023,Saxifragaceae,Micranthes,Micranthes californica
2686831,2/15/16,2016-02-15 23:50:21 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686831,https://inaturalist-open-data.s3.amazonaws.com/photos/3020856/medium.jpg,,1,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.81692,-122.04167,,,,Contra Costa,California manroot,Marah fabacea,California manroot,Plantae,205330,Cucurbitaceae,Marah,Marah fabacea
2686832,2/15/16,2016-02-15 23:57:05 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686832,https://inaturalist-open-data.s3.amazonaws.com/photos/3020857/medium.jpg,,2,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.81713667,-122.0414617,,,,Contra Costa,Birchleaf Mountain Mahogany,Cercocarpus betuloides,Birchleaf Mountain Mahogany,Plantae,63977,Rosaceae,Cercocarpus,Cercocarpus betuloides
2686836,2/15/16,2016-02-16 01:04:32 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686836,https://inaturalist-open-data.s3.amazonaws.com/photos/3020864/medium.jpg,,2,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.82461833,-122.0516983,,,,Contra Costa,chaparral currant,Ribes malvaceum,Chaparral Currant,Plantae,54942,Grossulariaceae,Ribes,Ribes malvaceum
2686882,2/15/16,2016-02-16 00:36:59 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686882,https://inaturalist-open-data.s3.amazonaws.com/photos/3020931/medium.jpg,,2,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.82113667,-122.0448367,,,,Contra Costa,hillside gooseberry,Ribes californicum,hillside gooseberry,Plantae,47129,Grossulariaceae,Ribes,Ribes californicum
2686886,2/15/16,2016-02-16 01:14:59 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686886,https://inaturalist-open-data.s3.amazonaws.com/photos/3020935/medium.jpg,,4,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.825385,-122.0550367,,,,Contra Costa,Indian Warrior,Pedicularis densiflora,Warrior's Plume,Plantae,49645,Orobanchaceae,Pedicularis,Pedicularis densiflora
2686900,2/15/16,2016-02-15 23:28:46 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686900,https://inaturalist-open-data.s3.amazonaws.com/photos/3020964/medium.jpg,,1,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.81589333,-122.0449567,,,,Contra Costa,small baby blue eyes,Nemophila heterophylla,White nemophila,Plantae,53158,Boraginaceae,Nemophila,Nemophila heterophylla
2686901,2/15/16,2016-02-16 01:00:31 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686901,https://inaturalist-open-data.s3.amazonaws.com/photos/3020965/medium.jpg,,4,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.823875,-122.05159,,,,Contra Costa,redmaids,Calandrinia menziesii,redmaids,Plantae,400267,Montiaceae,Calandrinia,Calandrinia menziesii
2686904,2/15/16,2016-02-16 00:49:13 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2686904,https://inaturalist-open-data.s3.amazonaws.com/photos/3020969/medium.jpg,,2,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.82094,-122.0476983,,,,Contra Costa,California scrub oak,Quercus berberidifolia,California scrub oak,Plantae,57082,Fagaceae,Quercus,Quercus berberidifolia
2687332,2/15/16,2016-02-15 23:56:20 +0100,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2687332,https://inaturalist-open-data.s3.amazonaws.com/photos/3021665/medium.jpg,What it looks like right before the flowers open.,1,0,FALSE,"Las Trampas Regional Wilderness, Contra Costa, California, United States",37.81712333,-122.0415833,,,,Contra Costa,Cercocarpus betuloides,Cercocarpus betuloides,Birchleaf Mountain Mahogany,Plantae,63977,Rosaceae,Cercocarpus,Cercocarpus betuloides
16433081,3/23/16,,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/16433081,https://inaturalist-open-data.s3.amazonaws.com/photos/24722667/medium.jpg,,1,0,FALSE,"Alamo, CA, USA",37.82113262,-122.0459256,31,,,Contra Costa,Purple Sanicle,Sanicula bipinnatifida,Purple Sanicle,Plantae,56840,Apiaceae,Sanicula,Sanicula bipinnatifida
2857988,3/31/16,2016-03-31 20:14:55 +0200,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2857988,https://inaturalist-open-data.s3.amazonaws.com/photos/3261040/medium.jpg,Lupine,2,0,FALSE,"Jeep Trl, Danville, CA, US",37.81730892,-122.0330261,5,,,Contra Costa,Silver Lupine,Lupinus albifrons,Silver Lupine,Plantae,51691,Fabaceae,Lupinus,Lupinus albifrons
3015532,4/23/16,2016-04-23 23:40:37 +0200,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3015532,https://inaturalist-open-data.s3.amazonaws.com/photos/3471312/medium.jpg,,1,0,FALSE,"94507, Alamo, CA, US",37.8282597,-122.038814,50,,,Contra Costa,California Bee Plant,Scrophularia californica,California beeplant,Plantae,50812,Scrophulariaceae,Scrophularia,Scrophularia californica
3017503,4/23/16,2016-04-23 19:32:09 +0200,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3017503,https://inaturalist-open-data.s3.amazonaws.com/photos/3471363/medium.jpg,,1,0,FALSE,"379 South Ave, Alamo, CA, US",37.83824135,-122.0367841,343,,,Contra Costa,Common Catchfly,Silene gallica,Small-flowered Catchfly,Plantae,53212,Caryophyllaceae,Silene,Silene gallica
3017537,4/23/16,2016-04-23 21:15:43 +0200,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3017537,https://inaturalist-open-data.s3.amazonaws.com/photos/3471419/medium.jpg,,3,0,FALSE,"94507, Alamo, CA, US",37.83679562,-122.0392992,377,,,Contra Costa,Calochortus albus,Calochortus albus,White Globe Lily,Plantae,51315,Liliaceae,Calochortus,Calochortus albus
