id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
8246725,2017-10-03,2017-10-03 20:46:28 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246725,https://inaturalist-open-data.s3.amazonaws.com/photos/10938172/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5157783333,-121.8306416667,,,,Alameda,Coast Live Oak,Quercus agrifolia,coast live oak,Plantae,47850,Fagaceae,Quercus,Quercus agrifolia
8246777,2017-10-03,2017-10-03 20:47:08 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246777,https://inaturalist-open-data.s3.amazonaws.com/photos/10938214/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5158916667,-121.8305883333,,,,Alameda,white alder,Alnus rhombifolia,white alder,Plantae,53351,Betulaceae,Alnus,Alnus rhombifolia
8246800,2017-10-03,2017-10-03 20:47:30 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246800,https://inaturalist-open-data.s3.amazonaws.com/photos/10938260/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5156883333,-121.829925,,,,Alameda,western sycamore,Platanus racemosa,western sycamore,Plantae,58231,Platanaceae,Platanus,Platanus racemosa
8246813,2017-10-03,2017-10-03 20:48:23 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246813,https://inaturalist-open-data.s3.amazonaws.com/photos/10938279/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5157966667,-121.8304666667,,,,Alameda,Northern California Black Walnut,Juglans hindsii,northern California black walnut,Plantae,54502,Juglandaceae,Juglans,Juglans hindsii
8246824,2017-10-03,2017-10-03 20:48:55 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246824,https://inaturalist-open-data.s3.amazonaws.com/photos/10938289/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5160216667,-121.8304533333,,,,Alameda,trailing blackberry,Rubus ursinus,trailing blackberry,Plantae,53445,Rosaceae,Rubus,Rubus ursinus
8246842,2017-10-03,2017-10-03 20:48:58 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246842,https://inaturalist-open-data.s3.amazonaws.com/photos/10938299/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.51592,-121.8303533333,,,,Alameda,Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080,Anacardiaceae,Toxicodendron,Toxicodendron diversilobum
8246849,2017-10-03,2017-10-03 20:50:01 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246849,https://inaturalist-open-data.s3.amazonaws.com/photos/10938353/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5160333333,-121.8301383333,,,,Alameda,blue elder,Sambucus cerulea,blue elder,Plantae,143799,Viburnaceae,Sambucus,Sambucus cerulea
8246863,2017-10-03,2017-10-03 20:50:14 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246863,https://inaturalist-open-data.s3.amazonaws.com/photos/10938368/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.516005,-121.830155,,,,Alameda,Valley Oak,Quercus lobata,valley oak,Plantae,49011,Fagaceae,Quercus,Quercus lobata
8246871,2017-10-03,2017-10-03 20:50:33 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246871,https://inaturalist-open-data.s3.amazonaws.com/photos/10938400/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.516005,-121.830155,,,,Alameda,California Buckeye,Aesculus californica,California buckeye,Plantae,53348,Sapindaceae,Aesculus,Aesculus californica
8246895,2017-10-03,2017-10-03 20:51:32 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246895,https://inaturalist-open-data.s3.amazonaws.com/photos/10938488/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5159116667,-121.83007,,,,Alameda,California Mugwort,Artemisia douglasiana,California mugwort,Plantae,52854,Asteraceae,Artemisia,Artemisia douglasiana
8246955,2017-10-03,2017-10-03 21:01:18 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246955,https://inaturalist-open-data.s3.amazonaws.com/photos/10938501/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.51447,-121.8284533333,,,,Alameda,Turkey Mullein,Croton setiger,turkey mullein,Plantae,154156,Euphorbiaceae,Croton,Croton setiger
8246973,2017-10-03,2017-10-03 21:07:08 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246973,https://inaturalist-open-data.s3.amazonaws.com/photos/10938510/medium.jpg,,2,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5137133333,-121.8273383333,,,,Alameda,California bay,Umbellularia californica,California bay,Plantae,48807,Lauraceae,Umbellularia,Umbellularia californica
8246986,2017-10-03,2017-10-03 21:07:35 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246986,https://inaturalist-open-data.s3.amazonaws.com/photos/10938512/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5135633333,-121.827295,,,,Alameda,California Sagebrush,Artemisia californica,California sagebrush,Plantae,53357,Asteraceae,Artemisia,Artemisia californica
8246988,2017-10-03,2017-10-03 21:07:47 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246988,https://inaturalist-open-data.s3.amazonaws.com/photos/10938518/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5135583333,-121.827255,,,,Alameda,Stinkwort,Dittrichia graveolens,Stinkwort,Plantae,58822,Asteraceae,Dittrichia,Dittrichia graveolens
8246989,2017-10-03,2017-10-03 21:09:01 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8246989,https://inaturalist-open-data.s3.amazonaws.com/photos/10938523/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5134616667,-121.8269716667,,,,Alameda,deerweed,Acmispon glaber,deerweed,Plantae,53134,Fabaceae,Acmispon,Acmispon glaber
8247002,2017-10-03,2017-10-03 21:08:11 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247002,https://inaturalist-open-data.s3.amazonaws.com/photos/10938531/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5135166667,-121.8271333333,,,,Alameda,orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371,Phrymaceae,Diplacus,Diplacus aurantiacus
8247003,2017-10-03,2017-10-03 21:10:09 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247003,https://inaturalist-open-data.s3.amazonaws.com/photos/10938533/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.513255,-121.8268966667,,,,Alameda,California brickellbush,Brickellia californica,California Brickellbush,Plantae,58803,Asteraceae,Brickellia,Brickellia californica
8247006,2017-10-03,2017-10-03 21:10:44 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247006,https://inaturalist-open-data.s3.amazonaws.com/photos/10938539/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.51315,-121.8269116667,,,,Alameda,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
8247009,2017-10-03,2017-10-03 21:12:14 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247009,https://inaturalist-open-data.s3.amazonaws.com/photos/10938544/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5129,-121.826705,,,,Alameda,Frangula californica californica,Frangula californica californica,California Coffeeberry,Plantae,53429,Rhamnaceae,Frangula,Frangula californica
8247015,2017-10-03,2017-10-03 21:24:28 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247015,https://inaturalist-open-data.s3.amazonaws.com/photos/10938558/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5153,-121.82988,,,,Alameda,bigleaf maple,Acer macrophyllum,bigleaf maple,Plantae,48227,Sapindaceae,Acer,Acer macrophyllum
8247019,2017-10-03,2017-10-03 21:40:15 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247019,https://inaturalist-open-data.s3.amazonaws.com/photos/10938561/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5168883333,-121.8320466667,,,,Alameda,Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416,Caprifoliaceae,Lonicera,Lonicera hispidula
8247055,2017-10-03,2017-10-03 21:42:41 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247055,https://inaturalist-open-data.s3.amazonaws.com/photos/10938633/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5162783333,-121.8338166667,,,,Alameda,mule fat,Baccharis salicifolia,mule fat,Plantae,57913,Asteraceae,Baccharis,Baccharis salicifolia
8247063,2017-10-03,2017-10-03 21:43:27 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247063,https://inaturalist-open-data.s3.amazonaws.com/photos/10938653/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.5162166667,-121.8337333333,,,,Alameda,California brickellbush,Brickellia californica,California Brickellbush,Plantae,58803,Asteraceae,Brickellia,Brickellia californica
8247066,2017-10-03,2017-10-03 21:43:54 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247066,https://inaturalist-open-data.s3.amazonaws.com/photos/10938656/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.51622,-121.83377,,,,Alameda,Fremont cottonwood,Populus fremontii,Fremont Cottonwood,Plantae,52120,Salicaceae,Populus,Populus fremontii
8247116,2017-10-03,2017-10-03 21:48:46 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8247116,https://inaturalist-open-data.s3.amazonaws.com/photos/10938718/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Sunol, CA, US",37.51622,-121.8344416667,,,,Alameda,Oloptum miliaceum,Oloptum miliaceum,Smilo Grass,Plantae,524183,Poaceae,Oloptum,Oloptum miliaceum
8403741,2017-10-14,2017-10-14 19:32:05 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8403741,https://inaturalist-open-data.s3.amazonaws.com/photos/11181818/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.507,-121.8085333333,,,,Alameda,blue oak,Quercus douglasii,blue oak,Plantae,49009,Fagaceae,Quercus,Quercus douglasii
8926145,2017-11-24,2017-11-24 21:29:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8926145,https://inaturalist-open-data.s3.amazonaws.com/photos/12021358/medium.jpeg,"New plant to me: low-growing plant, has succulent-like thick leaves but fuzzy like a sage; growing sparsely on a hillside exposed to wind and sun",2,0,false,"Alameda County, CA, USA",37.53571217,-121.8364725313,1364,,,Alameda,Turkey Mullein,Croton setiger,turkey mullein,Plantae,154156,Euphorbiaceae,Croton,Croton setiger
8929886,2017-11-25,2017-11-25 16:37:04 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8929886,https://inaturalist-open-data.s3.amazonaws.com/photos/12027804/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5467745681,-121.8339768146,5,,,Alameda,coyote brush,Baccharis pilularis,coyote brush,Plantae,53359,Asteraceae,Baccharis,Baccharis pilularis
8931898,2017-11-25,2017-11-25 19:07:50 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8931898,https://inaturalist-open-data.s3.amazonaws.com/photos/12031057/medium.jpg,,2,0,false,"Sunol Regional Wilderness, Alameda County, US-CA, US",37.5126924087,-121.8248523587,5,,,Alameda,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
8932139,2017-11-25,2017-11-25 20:07:36 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8932139,https://inaturalist-open-data.s3.amazonaws.com/photos/12031488/medium.jpg,,2,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.50644458,-121.8176098914,5,,,Alameda,Vinegar Weed,Trichostema lanceolatum,Vinegar Weed,Plantae,54875,Lamiaceae,Trichostema,Trichostema lanceolatum
8932240,2017-11-25,2017-11-25 18:13:53 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8932240,https://inaturalist-open-data.s3.amazonaws.com/photos/12031611/medium.jpg,,1,0,false,"Sunol Regional Wilderness Area, Livermore, CA, US",37.5400108332,-121.8304011786,5,,,Alameda,western sycamore,Platanus racemosa,western sycamore,Plantae,58231,Platanaceae,Platanus,Platanus racemosa
8952169,2017-11-17,2017-11-17 18:39:52 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8952169,https://inaturalist-open-data.s3.amazonaws.com/photos/12064624/medium.jpg,"Leaves kind of sticky, has an odor like coyote mint",1,0,false,"Sunol Regional Wilderness, Alameda County, US-CA, US",37.5247960445,-121.8177646213,10,,,Alameda,California brickellbush,Brickellia californica,California Brickellbush,Plantae,58803,Asteraceae,Brickellia,Brickellia californica
8952194,2017-11-17,2017-11-17 20:53:28 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/8952194,https://inaturalist-open-data.s3.amazonaws.com/photos/12064639/medium.jpg,,1,0,false,"Sunol Regional Wilderness, Alameda County, US-CA, US",37.5130194705,-121.8252379262,5,,,Alameda,blue oak,Quercus douglasii,blue oak,Plantae,49009,Fagaceae,Quercus,Quercus douglasii
